"x-gyro","y-gyro","z-gyro","time-gyro"
"0.06704619","0.011706477","-0.05959661","82444950845300"
"-0.1851752","0.15800413","-0.05992919","82445270862540"
"-0.16601914","0.14310499","-0.07163566","82445281109571"
"-0.16601914","0.14310499","-0.07163566","82445291043477"
"-0.17453295","0.15268302","-0.07057144","82445300917488"
"-0.20113857","0.14736189","-0.073764116","82445310937748"
"-0.22880843","0.11756358","-0.07269989","82445320911706"
"-0.236258","0.0803157","-0.08440637","82445330978529"
"-0.22455153","0.090957955","-0.10143397","82445341002748"
"-0.21390927","0.11330668","-0.11846157","82445350775300"
"-0.20539546","0.14416921","-0.13016805","82445360955404"
"-0.20113857","0.17503174","-0.14187452","82445371108894"
"-0.21178082","0.18780243","-0.1578379","82445380978581"
"-0.23519377","0.17716019","-0.17380129","82445391037904"
"-0.25860673","0.16758215","-0.18763621","82445401239311"
"-0.27350587","0.16332527","-0.19934268","82445410989884"
"-0.2745701","0.16119681","-0.19402157","82445420909519"
"-0.26286364","0.16545372","-0.17273706","82445431021811"
"-0.25541407","0.17716019","-0.14400297","82445441157852"
"-0.23945068","0.18567398","-0.11314045","82445450948217"
"-0.2064597","0.20376581","-0.08121369","82445461216342"
"-0.16708337","0.23888525","-0.051415388","82445470926446"
"-0.13089971","0.2580413","-0.02906666","82445481041081"
"-0.097908735","0.25165594","-0.0067179315","82445491169467"
"-0.072367325","0.23888525","0.011373896","82445500934623"
"-0.055339724","0.23569258","0.02520882","82445511047904"
"-0.04789014","0.25165594","0.040107977","82445520922383"
"-0.057468176","0.28358272","0.05926403","82445530960144"
"-0.08088113","0.31018832","0.0794843","82445540920456"
"-0.11174366","0.3250875","0.10289726","82445551188373"
"-0.14579886","0.32402325","0.120989084","82445561134883"
"-0.16389069","0.31338102","0.12631021","82445571032540"
"-0.1692118","0.3048672","0.112475276","82445580883061"
"-0.16601914","0.3006103","0.09225501","82445591052540"
"-0.16282646","0.303803","0.080548525","82445601203008"
"-0.1681476","0.31657368","0.0794843","82445611226133"
"-0.18730363","0.33572975","0.085869655","82445621048373"
"-0.1979459","0.35382158","0.09012656","82445630766446"
"-0.1724045","0.37404183","0.09225501","82445641229363"
"-0.11493634","0.40384015","0.09012656","82445650771550"
"-0.062789306","0.41341817","0.08480543","82445661025144"
"-0.038312122","0.2580413","0.0667136","82445670763633"
"-0.12770703","-0.048455544","-0.032259338","82445681081238"
"-0.2660563","-0.19957551","-0.1493241","82445690891185"
"-0.3341667","-0.2623648","-0.20040691","82445700762019"
"-0.30117574","-0.14636427","-0.20785649","82445710943217"
"-0.27669856","0.059031196","-0.19827846","82445720923113"
"-0.28521237","0.16332527","-0.16103058","82445730949623"
"-0.28627658","0.18460977","-0.102498196","82445740993633"
"-0.26286364","0.20802271","-0.052479614","82445750946238"
"-0.24157913","0.2069585","-0.021617085","82445760945196"
"-0.23412955","0.18780243","-0.022681307","82445770962227"
"-0.22987264","0.16013259","-0.05035116","82445781083790"
"-0.236258","0.10904978","-0.085470594","82445790927175"
"-0.25434983","0.053710073","-0.11846157","82445800937748"
"-0.28734082","0.01433374","-0.14187452","82445810884258"
