"x-gyro","y-gyro","z-gyro","time-gyro"
"0.11387209","0.019156054","-0.014899152","83240253012960"
"-0.25009292","0.13246274","-0.07802102","83240573008897"
"-0.2745701","0.12820584","-0.07269989","83240583019106"
"-0.2703132","0.13459119","-0.06844299","83240593349158"
"-0.23093687","0.16226104","-0.07482834","83240603309366"
"-0.19049633","0.17609596","-0.085470594","83240613070928"
"-0.17346871","0.16013259","-0.09185594","83240623752283"
"-0.18091829","0.14736189","-0.08972749","83240632839835"
"-0.2022028","0.15800413","-0.08334214","83240642846449"
"-0.21816617","0.17183906","-0.08227792","83240653270408"
"-0.21603772","0.17503174","-0.085470594","83240663021553"
"-0.20326702","0.17077485","-0.09185594","83240673277803"
"-0.18943208","0.15268302","-0.09717707","83240683118793"
"-0.17878984","0.12820584","-0.100369744","83240693156814"
"-0.1692118","0.12182048","-0.0982413","83240703003897"
"-0.17027605","0.13778386","-0.099305525","83240713001814"
"-0.18943208","0.14629766","-0.10675509","83240723147126"
"-0.21603772","0.15587568","-0.108883545","83240733090355"
"-0.2320011","0.16651794","-0.111012","83240743040876"
"-0.236258","0.16758215","-0.114204675","83240752864418"
"-0.2320011","0.15268302","-0.11633313","83240763126762"
"-0.23093687","0.13459119","-0.11314045","83240773132595"
"-0.22135885","0.13246274","-0.10462664","83240783181137"
"-0.20858815","0.13671963","-0.099305525","83240793095668"
"-0.19368899","0.13246274","-0.099305525","83240803013272"
"-0.18198252","0.13671963","-0.102498196","83240813133116"
"-0.18623942","0.15268302","-0.10569087","83240823306553"
"-0.20858815","0.17609596","-0.10781932","83240833234210"
"-0.22774419","0.19312356","-0.10569087","83240843150095"
"-0.22561574","0.18993089","-0.10356242","83240853101918"
"-0.20007434","0.17290328","-0.10462664","83240862888897"
"-0.18198252","0.15693991","-0.10569087","83240873136397"
"-0.1979459","0.15161878","-0.100369744","83240883292387"
"-0.23093687","0.16438949","-0.07802102","83240893124730"
"-0.25434983","0.18248132","-0.058864966","83240903012022"
"-0.25009292","0.18886667","-0.052479614","83240913324158"
"-0.22774419","0.19525202","-0.058864966","83240923115876"
"-0.20965236","0.19312356","-0.07695679","83240933131970"
"-0.19049633","0.19738047","-0.08653482","83240943028012"
"-0.17134026","0.20376581","-0.08440637","83240953212647"
"-0.15856957","0.18993089","-0.073764116","83240963119314"
"-0.14686309","0.15800413","-0.05354384","83240973089001"
"-0.13089971","0.10692133","-0.032259338","83240983014730"
"-0.004256904","-0.18148369","-0.09611285","83240993144053"
"-0.017027617","-0.28897044","-0.1365534","83241003296449"
"-0.118129015","-0.25917214","-0.09079172","83241013003168"
"-0.18304674","-0.19212595","-0.054608062","83241023096137"
"-0.19262478","0.05583852","-0.02906666","83241033005407"
"-0.22667998","0.26336244","-0.052479614","83241043023064"
"-0.27563432","0.29422495","-0.06205764","83241053301710"
"-0.3043684","0.3293444","-0.036516234","83241063251293"
"-0.3086253","0.40809703","-0.021617085","83241073238428"
"-0.30543265","0.4527945","-0.028002433","83241082872855"
"-0.3001115","0.4357669","-0.03758046","83241093072282"
"-0.28414813","0.3687207","-0.04077314","83241102993116"
"-0.26392785","0.27826157","-0.036516234","83241112848741"
"-0.24583602","0.17396751","-0.036516234","83241122996241"
"-0.24370758","0.10053598","-0.05354384","83241133029262"
"-0.25541407","0.10692133","-0.08121369","83241143817803"
"-0.27563432","0.1686464","-0.102498196","83241153196241"
"-0.2990473","0.22611454","-0.1152689","83241163153793"
"-0.32778138","0.23569258","-0.13336073","83241173169314"
"-0.35332277","0.20163736","-0.14187452","83241183081657"
"-0.3671577","0.16119681","-0.13868184","83241193014366"
"-0.36183655","0.15906836","-0.13336073","83241203033741"
"-0.34906587","0.18780243","-0.13123228","83241213014105"
"-0.3426805","0.18780243","-0.13761763","83241223060668"
"-0.3299098","0.15906836","-0.15038833","83241233681553"
"-0.3086253","0.14523344","-0.1578379","83241243040355"
"-0.27989122","0.15161878","-0.1578379","83241253064730"
"-0.25860673","0.15800413","-0.15251678","83241262851137"
"-0.2490287","0.15374723","-0.15038833","83241273013949"
"-0.25115716","0.14629766","-0.1493241","83241283150824"
"-0.25541407","0.15161878","-0.14293875","83241292837959"
"-0.2575425","0.16119681","-0.13016805","83241303059782"
"-0.26818475","0.18673822","-0.099305525","83241313306866"
"-0.26818475","0.18673822","-0.099305525","83241323084105"
"-0.28095546","0.1356554","-0.08334214","83241333223845"
"-0.269249","0.12927006","-0.088663265","83241343035199"
"-0.24157913","0.13671963","-0.09717707","83241353104574"
"-0.18836787","0.15906836","-0.100369744","83241363081137"
"-0.06917465","0.17503174","-0.15570946","83241373022387"
"-0.097908735","-0.047391318","-0.21317762","83241383167543"
"-0.22774419","-0.23363072","-0.1663517","83241393053949"
"-0.3086253","-0.13891467","-0.1152689","83241403162022"
"-0.31926757","0.12394893","-0.093984395","83241412916449"
"-0.3288456","0.32295904","-0.08653482","83241422841657"
"-0.35013008","0.36978492","-0.06737877","83241433012178"
"-0.35119432","0.32721594","-0.052479614","83241443012907"
"-0.31501067","0.23888525","-0.054608062","83241453306293"
"-0.24477181","0.17716019","-0.056736514","83241463076397"
"-0.17346871","0.19205934","-0.060993414","83241473199157"
"-0.15750533","0.22079343","-0.07695679","83241482845876"
"-0.2064597","0.20376581","-0.08440637","83241493010147"
"-0.26392785","0.16758215","-0.08121369","83241503023689"
"-0.29266194","0.16332527","-0.08334214","83241512836293"
"-0.28201967","0.18780243","-0.085470594","83241523051918"
"-0.25009292","0.18567398","-0.09292017","83241532998689"
"-0.21603772","0.17077485","-0.09717707","83241542966866"
"-0.19262478","0.16545372","-0.09717707","83241552983116"
"-0.19156054","0.15481146","-0.09717707","83241562987230"
"-0.21284504","0.14097653","-0.10462664","83241573048845"
"-0.2405149","0.13459119","-0.11207622","83241583079574"
"-0.26073518","0.1356554","-0.11314045","83241593023376"
"-0.269249","0.13246274","-0.10781932","83241602920511"
"-0.2703132","0.12714161","-0.10675509","83241613036501"
"-0.25860673","0.14629766","-0.10462664","83241623610720"
"-0.24264336","0.1697106","-0.10781932","83241633014366"
"-0.2320011","0.17822441","-0.11739735","83241642859053"
"-0.22561574","0.18780243","-0.11633313","83241653224105"
"-0.22455153","0.18035287","-0.11633313","83241663125199"
"-0.22455153","0.16758215","-0.11633313","83241673329522"
"-0.22455153","0.14949033","-0.11314045","83241683005303"
"-0.2192304","0.114370905","-0.111012","83241693246709"
"-0.19901012","0.111178234","-0.100369744","83241703135251"
"-0.18091829","0.16758215","-0.06844299","83241713007126"
"-0.18411097","0.21227962","-0.054608062","83241723395459"
"-0.19581744","0.23462835","-0.03332356","83241733016084"
"-0.18411097","0.21866497","-0.0045894794","83241743026709"
"-0.17453295","0.0462605","-0.04609426","83241753304470"
"-0.25434983","-0.28045663","-0.100369744","83241763259991"
"-0.3245887","-0.46137494","-0.12059002","83241773700251"
"-0.30968952","-0.27300707","-0.12484692","83241782979522"
"-0.27669856","0.09521485","-0.1322965","83241793126761"
"-0.28840503","0.2952892","-0.100369744","83241803301709"
"-0.31501067","0.38042718","-0.036516234","83241813027543"
"-0.31713912","0.41980353","-0.009910606","83241823109053"
"-0.28946924","0.39958325","-0.018424407","83241833017595"
"-0.24690025","0.3293444","-0.045030035","83241843086136"
"-0.21390927","0.2622982","-0.07589257","83241853008845"
"-0.22029462","0.18460977","-0.07589257","83241863199522"
"-0.25967094","0.099471755","-0.04183736","83241873220876"
