"x-acc","y-acc","z-acc","time-acc"
"-1.0749966","1.2689269","8.942344","59176722245775"
"-1.0749966","1.2689269","9.097966","59176936478067"
"-1.1540052","1.292869","9.184157","59176946434629"
"-1.1204864","1.2354081","9.198523","59176956426087"
"-1.1013328","1.2449849","9.270349","59176966423483"
"-1.1372458","1.2617443","9.196129","59176976423744"
"-1.1731589","1.3120226","9.136273","59176986407494"
"-1.1204864","1.2641385","9.224859","59176996418796"
"-1.1348516","1.2282255","9.200917","59177006406296"
"-1.1827357","1.2545617","9.323022","59177016406087"
"-1.1420342","1.2976574","9.272743","59177026404264"
"-1.1228806","1.2425907","9.179369","59177036406139"
"-1.1803415","1.2952632","9.155427","59177046747494"
"-1.2593501","1.2665327","9.143456","59177056435046"
"-1.2737153","1.2354081","9.181764","59177066401244"
"-1.316811","1.2162545","9.241618","59177076441244"
"-1.3623008","1.1683705","9.184157","59177086295514"
"-1.3479356","1.0869676","9.203311","59177096599942"
"-1.328782","1.1611878","9.097966","59177106295671"
"-1.3359646","1.1779473","9.160215","59177116538119"
"-1.3503298","1.1827357","9.129091","59177126496035"
"-1.3551182","1.1611878","9.11712","59177136511400"
"-1.4101849","1.1252748","9.141062","59177146304681"
"-1.388637","1.1444284","9.157822","59177156456556"
"-1.3623008","1.163582","9.0429","59177166648327"
"-1.4532804","1.1827357","9.0716305","59177176454837"
"-1.352724","1.1923125","9.119514","59177186325150"
"-1.3479356","1.1827357","9.205706","59177196725619"
"-1.3311762","1.2425907","9.220071","59177206576139"
"-1.2641385","1.2401965","9.150639","59177216802702"
"-1.1827357","1.2401965","9.083601","59177226471921"
"-1.2258313","1.3072342","9.040505","59177236300775"
"-1.2330139","1.2737153","9.0429","59177246564681"
"-1.2282255","1.2880806","9.100361","59177256454733"
"-1.1563994","1.2306197","9.258378","59177266588639"
"-1.1994951","1.3263878","9.188946","59177276435827"
"-1.2665327","1.3192052","9.174581","59177286539473"
"-1.2593501","1.283292","9.181764","59177296492962"
"-1.2737153","1.2497733","9.172187","59177306449160"
"-1.271321","1.2497733","9.119514","59177316595983"
"-1.2904748","1.2306197","9.270349","59177326606608"
"-1.30484","1.1731589","9.251195","59177336808066"
"-1.3144168","1.1827357","9.181764","59177346484108"
"-1.2880806","1.163582","9.186552","59177356634108"
"-1.3263878","1.1611878","9.095572","59177366558327"
"-1.388637","1.1611878","9.038112","59177376319681"
"-1.388637","1.1611878","9.038112","59177389129785"
"-1.3503298","1.1587936","9.038112","59177396475150"
"-1.283292","1.1779473","9.19134","59177406479473"
"-1.2569559","1.163582","9.157822","59177416698952"
"-1.2665327","1.2042835","9.176975","59177426508587"
"-1.2785037","1.2162545","9.186552","59177436680671"
"-1.292869","1.1659763","9.148245","59177446291452"
"-1.3144168","1.1875241","9.179369","59177456354733"
"-1.3144168","1.2114661","9.227253","59177466509889"
"-1.2473791","1.2401965","9.186552","59177476450514"
"-1.2258313","1.1923125","9.246407","59177486696348"
"-1.292869","1.2114661","9.244013","59177496439160"
"-1.2449849","1.2401965","9.227253","59177506562389"
"-1.2904748","1.151611","9.224859","59177516662546"
"-1.1899183","1.1587936","9.064447","59177526463848"
"-1.2138603","1.2018893","9.0237465","59177536696764"
"-1.2090719","1.2330139","9.090784","59177546438535"
"-1.1659763","1.2761095","9.157822","59177556483848"
"-1.1971009","1.2090719","9.138668","59177566618275"
"-1.2401965","1.2425907","9.093178","59177576565150"
"-1.2066777","1.2473791","9.153033","59177586590931"
"-1.2521675","1.1540052","9.174581","59177596564473"
"-1.3263878","1.1563994","9.270349","59177606687962"
"-1.283292","1.1899183","9.370906","59177616570931"
"-1.3024458","1.1683705","9.284714","59177626578014"
"-1.283292","1.1683705","9.181764","59177636763639"
"-1.2593501","1.1180922","9.085996","59177646673795"
"-1.3000516","1.1348516","9.148245","59177656534837"
"-1.0702082","0.8283938","8.0924015","59177666512910"
"-1.7836803","0.6607997","9.263166","59177676629941"
"-2.0398598","1.5251064","9.0237465","59177686518275"
"-1.2162545","0.78050977","9.464279","59177696495931"
"-1.2162545","0.78050977","9.464279","59177706536035"
"-1.532289","1.1731589","9.583989","59177716541243"
"-1.3814543","1.1109096","9.524135","59177726749785"
"-1.3814543","1.1109096","9.524135","59177736487233"
"-1.3670892","1.2090719","9.701305","59177746470306"
"-1.2162545","1.283292","9.586384","59177756463900"
"-1.127669","1.1611878","9.081207","59177766670879"
"-1.1252748","1.1252748","8.90643","59177776441816"
"-1.2425907","1.2162545","9.148245","59177786465879"
"-1.2952632","1.1923125","9.409213","59177796444472"
"-1.1994951","1.1947067","9.425972","59177806551660"
"-1.1085154","1.1085154","9.272743","59177816475775"
"-1.0869676","1.1109096","9.148245","59177826466347"
"-1.1109096","1.0749966","9.021352","59177836659212"
"-1.163582","1.1228806","8.896853","59177846463795"
"-1.2114661","0.9888053","8.76996","59177856639368"
"-1.3239936","1.0223241","8.856153","59177866439577"
"-1.4628572","1.0103531","8.985439","59177876446295"
"-1.4676456","0.9888053","8.990228","59177886531816"
"-1.4317327","0.93373865","8.987833","59177896472754"
"-1.4748282","0.9888053","8.990228","59177906522962"
"-1.4796166","1.0175357","9.121908","59177916465358"
"-1.4748282","1.0510546","9.184157","59177926484681"
"-1.3575124","0.9983821","9.260772","59177936587129"
"-1.3838485","1.067814","9.251195","59177946698118"
"-1.4077905","1.0773908","9.332599","59177956492962"
"-1.4077905","1.0031705","9.406818","59177966821868"
"-1.436521","0.94810385","9.464279","59177976500358"
"-1.4053963","1.0103531","9.43076","59177986491660"
"-1.3359646","1.0247183","9.354146","59177996690670"
"-1.283292","1.0390835","9.215282","59178006506139"
"-1.2114661","1.1204864","9.28232","59178016514316"
"-1.2138603","1.1348516","9.303867","59178026527181"
"-1.1923125","1.0893618","9.346964","59178036488899"
"-1.0845734","1.1468226","9.294291","59178046729420"
"-1.2617443","1.0582372","9.200917","59178056507337"
"-1.2162545","1.0726024","9.0716305","59178066516712"
"-1.1994951","1.0869676","9.004593","59178076487337"
"-1.1827357","1.1061212","9.050082","59178086487337"
"-1.1540052","1.0893618","9.085996","59178096594993"
"-1.0271125","1.1300632","9.181764","59178106500670"
"-1.2306197","1.1540052","9.25359","59178116543587"
"-1.1899183","1.067814","9.088389","59178126528327"
"-1.2138603","0.94331545","9.112331","59178136810879"
"-1.292869","1.0702082","9.035717","59178146755462"
"-1.2449849","1.0630256","9.059659","59178156500462"
"-1.2880806","1.0534488","9.157822","59178166738431"
"-1.2689269","1.1300632","9.198523","59178176595722"
"-1.271321","1.0893618","9.059659","59178186574889"
