"x-gyro","y-gyro","z-gyro","time-gyro"
"-0.0","0.0","-0.0","83886597023511"
"-0.23093687","0.17077485","-0.08440637","83886906944761"
"-0.22135885","0.1697106","-0.08759904","83886917081636"
"-0.22242308","0.15693991","-0.09185594","83886927003146"
"-0.21710195","0.14523344","-0.093984395","83886937185542"
"-0.20752391","0.12820584","-0.09185594","83886947086271"
"-0.19475323","0.12075625","-0.088663265","83886957337677"
"-0.18304674","0.13033429","-0.08440637","83886967153823"
"-0.17346871","0.14310499","-0.08227792","83886977099708"
"-0.1692118","0.15481146","-0.08121369","83886987077260"
"-0.1979459","0.13884808","-0.088663265","83886999585802"
"-0.1979459","0.13884808","-0.088663265","83887007053302"
"-0.2149735","0.14949033","-0.09185594","83887016868719"
"-0.2192304","0.16438949","-0.100369744","83887027163615"
"-0.22135885","0.16226104","-0.10356242","83887037026844"
"-0.23519377","0.12394893","-0.099305525","83887047944448"
"-0.25222138","0.12075625","-0.093984395","83887057077677"
"-0.25222138","0.12075625","-0.093984395","83887067015958"
"-0.26073518","0.122884706","-0.085470594","83887077161740"
"-0.26073518","0.122884706","-0.085470594","83887086989448"
"-0.22774419","0.122884706","-0.08440637","83887097044083"
"-0.21178082","0.12501316","-0.08334214","83887106897573"
"-0.1979459","0.12394893","-0.079085246","83887116859813"
"-0.19156054","0.12182048","-0.07163566","83887127357208"
"-0.18411097","0.12820584","-0.06844299","83887136996792"
"-0.17453295","0.14097653","-0.06418609","83887147160646"
"-0.16495492","0.14629766","-0.060993414","83887156994083"
"-0.18304674","0.12927006","-0.065250315","83887167052104"
"-0.20965236","0.13139851","-0.06312186","83887177008458"
"-0.22455153","0.15481146","-0.06737877","83887187002937"
"-0.22880843","0.17716019","-0.07695679","83887197180125"
"-0.22029462","0.17290328","-0.08759904","83887207217417"
"-0.2022028","0.15374723","-0.100369744","83887217253771"
"-0.18411097","0.14097653","-0.10994777","83887227001740"
"-0.1724045","0.13352695","-0.10781932","83887237014656"
"-0.1692118","0.12927006","-0.09504862","83887247153510"
"-0.1681476","0.12501316","-0.08227792","83887257287521"
"-0.17878984","0.13033429","-0.07695679","83887266993771"
"-0.19581744","0.13459119","-0.07695679","83887276990437"
"-0.20858815","0.1356554","-0.08440637","83887287106948"
"-0.21284504","0.14097653","-0.09292017","83887297160177"
"-0.21284504","0.1356554","-0.10569087","83887307001635"
"-0.21710195","0.13246274","-0.1152689","83887317039656"
"-0.22667998","0.13671963","-0.11846157","83887326854917"
"-0.24583602","0.14629766","-0.11739735","83887336862833"
"-0.2660563","0.15800413","-0.1152689","83887346991219"
"-0.26818475","0.17183906","-0.11207622","83887357027625"
"-0.25222138","0.17928864","-0.1152689","83887367045906"
"-0.22774419","0.1697106","-0.114204675","83887376859708"
"-0.20433125","0.14842612","-0.10462664","83887387023406"
"-0.18411097","0.14736189","-0.08759904","83887396989552"
"-0.16282646","0.17609596","-0.06418609","83887406859656"
"-0.14792731","0.20589426","-0.04928694","83887417127052"
"-0.13622084","0.21334384","-0.039708912","83887427287312"
"-0.12132168","0.2154723","-0.034387786","83887437320854"
"-0.107486755","0.22079343","-0.034387786","83887447129292"
"-0.10003719","0.21760075","-0.02906666","83887457131583"
"-0.107486755","0.20483005","-0.02906666","83887467129917"
"-0.11706479","0.19738047","-0.030130886","83887477127104"
"-0.11387211","0.2027016","-0.034387786","83887486846792"
"-0.11067943","0.20908695","-0.043965813","83887497185489"
"-0.11706479","0.20908695","-0.05354384","83887506864969"
"-0.13409239","0.21015117","-0.06418609","83887517182104"
"-0.15750533","0.22930722","-0.07482834","83887526847417"
"-0.19475323","0.2410137","-0.08653482","83887537136375"
"-0.23412955","0.2410137","-0.09079172","83887547309969"
"-0.25541407","0.26442665","-0.09185594","83887557135437"
"-0.26392785","0.2878396","-0.09292017","83887567138094"
