"x-acc","y-acc","z-acc","time-acc"
"-0.39504328","2.336741","8.659827","83882607115335"
"-0.50278234","2.3056161","9.074024","83882821621637"
"-0.46926352","2.3822308","9.081207","83882831622939"
"-0.49320555","2.360683","9.057265","83882841620752"
"-0.46926352","2.3894134","8.9279785","83882851607887"
"-0.39025488","2.4301147","8.880095","83882861607991"
"-0.33997664","2.4468741","8.844181","83882871607314"
"-0.34476504","2.4708161","8.815451","83882881606585"
"-0.29688102","2.480393","8.892065","83882891607314"
"-0.33758244","2.480393","8.925584","83882901606793"
"-0.33039984","2.5115175","8.961497","83882911607210"
"-0.2705448","2.4492683","8.992621","83882921606741"
"-0.34715924","2.4157495","9.018958","83882931679345"
"-0.4405331","2.4061728","9.074024","83882941708564"
"-0.50996494","2.3822308","9.210494","83882951964293"
"-0.545878","2.336741","9.172187","83882961704710"
"-0.5482722","2.3654714","9.215282","83882971505647"
"-0.50757074","2.408567","9.124303","83882981707783"
"-0.50757074","2.4133554","9.01417","83882991694554"
"-0.50038815","2.3415294","8.901642","83883001760022"
"-0.59136784","2.3247697","8.774749","83883011824241"
"-0.6751649","2.3295584","8.781932","83883021686533"
"-0.6560113","2.2936451","8.820239","83883031789345"
"-0.6392518","2.3223755","8.853758","83883041688147"
"-0.61052144","2.3630772","8.860941","83883051693772"
"-0.62249243","2.3175871","8.932767","83883061725699"
"-0.59376204","2.3439236","8.978256","83883071705908"
"-0.641646","2.372654","9.069236","83883081693720"
"-0.6440403","2.3702598","9.018958","83883091660283"
"-0.6919243","2.3535004","9.066842","83883101775908"
"-0.6967127","2.3223755","9.035717","83883111509762"
"-0.6967127","2.3439236","9.0429","83883121673824"
"-0.6775591","2.3295584","9.011775","83883131744970"
"-0.6775591","2.3295584","9.011775","83883141735335"
"-0.5506664","2.3391352","9.097966","83883151527158"
"-0.51235914","2.3535004","9.126697","83883161746481"
"-0.51714754","2.3870192","9.124303","83883171673616"
"-0.45250413","2.3918076","9.083601","83883181699658"
"-0.40222588","2.4157495","9.083601","83883191658877"
"-0.4237737","2.420538","9.124303","83883201735283"
"-0.39264908","2.4229321","9.167398","83883211812366"
"-0.4261679","2.4396915","9.016563","83883221806012"
"-0.4189853","2.4612393","8.956709","83883231684762"
"-0.45729253","2.4779987","8.935161","83883241943877"
"-0.45729253","2.4779987","8.935161","83883252015231"
"-0.49559975","2.4827871","8.892065","83883261527366"
"-0.50517654","2.3918076","8.949526","83883271678981"
"-0.5506664","2.4157495","8.992621","83883281729606"
"-0.50996494","2.5187001","8.844181","83883292742001"
"-0.50996494","2.5187001","8.844181","83883301839189"
"-0.533907","2.480393","8.784326","83883311689501"
"-0.5482722","2.4037786","8.932767","83883321734449"
"-0.59376204","2.3942018","9.018958","83883331669345"
"-0.7062895","2.4636335","9.035717","83883341796064"
"-0.7254431","2.4396915","9.109938","83883351716429"
"-0.7110779","2.4301147","9.0237465","83883361774501"
"-0.6727707","2.4109612","9.030929","83883371756585"
"-0.6440403","2.44448","8.983045","83883381669814"
"-0.60812724","2.4588451","9.081207","83883391676585"
"-0.6392518","2.4420857","9.097966","83883401690022"
"-0.7398083","2.504335","9.153033","83883411667210"
"-0.78529817","2.504335","9.088389","83883421826168"
"-0.7757214","2.4588451","9.0237465","83883431722731"
"-0.79008657","2.4827871","8.971074","83883441519970"
"-0.79248077","2.3942018","8.765172","83883451639085"
"-0.7350199","2.468422","8.422802","83883461666689"
"-0.8571242","2.468422","7.788338","83883471648824"
"-0.5410896","2.906561","7.69257","83883481508720"
"-0.6344634","2.4349031","8.341399","83883491518460"
"-0.7661445","2.5234885","9.416395","83883501680074"
"-0.46926352","2.4779987","9.490616","83883511674866"
"-0.22744916","2.3630772","9.445126","83883525724345"
"-0.533907","2.4516625","9.481039","83883531735751"
"-0.89064306","2.5234885","9.325416","83883541770960"
"-0.81163436","2.396596","9.085996","83883551685699"
"-0.81642276","2.5067291","9.006987","83883561783512"
"-0.7733272","2.695871","8.90643","83883571860491"
"-0.61052144","2.633622","8.901642","83883581748356"
"-0.4333505","2.633622","8.99741","83883591677001"
"-0.34955344","2.6312277","9.186552","83883601510803"
"-0.35673606","2.6240451","9.186552","83883611821741"
"-0.40462008","2.4708161","9.188946","83883621514658"
"-0.48602295","2.44448","9.016563","83883631656949"
"-0.5602432","2.384625","8.961497","83883641535231"
"-0.59615624","2.3391352","8.971074","83883651653095"
"-0.6368576","2.3127987","8.89446","83883661692574"
"-0.6919243","2.3511062","8.8777","83883671798147"
"-0.7038953","2.3630772","8.844181","83883681932574"
"-0.7086837","2.4301147","8.774749","83883692327522"
"-0.7230489","2.4061728","8.66701","83883701721793"
"-0.7422025","2.3918076","8.559271","83883711674189"
"-0.7613561","2.3894134","8.583213","83883721653564"
"-0.7230489","2.3439236","8.652645","83883731678355"
"-0.7565677","2.2242134","8.865729","83883741641012"
"-0.7062895","2.219425","9.198523","83883751519658"
"-0.6967127","2.267309","9.416395","83883761746585"
"-0.6607997","2.3056161","9.399636","83883771803876"
"-0.6392518","2.3104045","9.308656","83883781801689"
"-0.59376204","2.3463178","9.267955","83883791505335"
"-0.5363012","2.3056161","9.018958","83883801685230"
"-0.4333505","2.3774424","9.062054","83883811701220"
"-0.3854665","2.384625","9.090784","83883821548928"
"-0.33997664","2.3582888","9.109938","83883831883928"
"-0.35673606","2.3391352","9.172187","83883841673824"
"-0.4333505","2.3199813","9.181764","83883851525074"
"-0.4405331","2.2625206","9.081207","83883861746480"
"-0.45010993","2.3175871","8.944737","83883871748043"
"-0.46208093","2.3008277","8.808268","83883881526480"
"-0.47644615","2.372654","8.832211","83883891885595"
"-0.47884035","2.3582888","8.899248","83883901669605"
"-0.47405192","2.336741","8.968679","83883912690751"
"-0.48123455","2.3247697","9.076419","83883921655960"
"-0.51714754","2.3199813","9.136273","83883931524866"
"-0.5434838","2.2601264","9.059659","83883941682782"
"-0.6440403","2.2744915","8.916007","83883951838147"
"-0.6560113","2.3127987","8.870518","83883961522314"
"-0.6464345","2.3295584","8.916007","83883971687939"
"-0.61770403","2.315193","9.076419","83883981531949"
"-0.58897364","2.336741","9.11712","83883991787001"
"-0.5363012","2.303222","9.0476885","83884001701012"
"-0.61530983","2.315193","8.9758625","83884011678928"
"-0.641646","2.303222","9.035717","83884021520960"
"-0.6560113","2.2697031","9.100361","83884031816793"
"-0.62488663","2.1978772","9.229648","83884041516897"
"-0.5650316","2.171541","9.074024","83884051520595"
"-0.5793968","2.2768857","8.896853","83884061671741"
"-0.533907","2.2457612","8.772355","83884071707522"
"-0.49799395","2.0087352","8.248025","83884081658876"
"-0.8571242","2.4061728","8.513782","83884091701793"
"-0.7517793","2.3511062","8.767567","83884101821741"
"-0.30166942","2.1978772","9.129091","83884112563199"
"-0.19632454","2.1332338","9.19134","83884121664241"
"-0.31603462","2.171541","9.232041","83884131682157"
"-0.61770403","2.336741","9.244013","83884141840907"
"-0.6751649","2.2601264","9.44752","83884151700595"
"-0.58657944","2.3558946","9.720459","83884161776949"
"-0.5530606","2.3918076","9.821015","83884171787262"
"-0.48602295","2.336741","9.555259","83884181690282"
"-0.61770403","2.3463178","9.277532","83884191797418"
"-0.5267244","2.3008277","8.887277","83884201845022"
"-0.5267244","2.3008277","8.887277","83884211793564"
"-0.4357447","2.267309","8.89446","83884221514293"
"-0.44771573","2.2481554","8.844181","83884231657470"
"-0.40940848","2.2744915","8.8777","83884241706584"
"-0.34955344","2.2505496","8.774749","83884251791324"
"-0.40462008","2.2720973","8.76996","83884261718095"
"-0.4165911","2.27928","8.683769","83884271692209"
"-0.4381389","2.27928","8.669404","83884281708303"
"-0.44771573","2.3582888","8.640674","83884291688095"
"-0.51475334","2.3295584","8.750807","83884302040751"
"-0.62249243","2.3247697","9.059659","83884311730959"
"-0.7158663","2.2481554","9.203311","83884321521012"
"-0.8475474","2.2744915","9.375694","83884331803668"
"-0.878672","2.2601264","9.43076","83884341683512"
"-0.92176765","2.2457612","9.255983","83884351653720"
"-0.81163436","2.2290018","9.105149","83884361670907"
"-0.8714894","2.2840683","8.935161","83884371767991"
"-0.7661445","2.3654714","8.925584","83884381655595"
"-0.7062895","2.4013844","8.937555","83884391671949"
"-0.6607997","2.4492683","8.9758625","83884401509814"
"-0.5386954","2.4396915","9.136273","83884411675022"
"-0.5482722","2.5115175","9.181764","83884421723095"
"-0.62488663","2.4492683","9.169792","83884431666532"
"-0.6751649","2.420538","9.100361","83884441716689"
"-0.7110779","2.554613","8.834604","83884451803511"
"-0.7110779","2.554613","8.834604","83884461522678"
"-0.7469909","2.5115175","8.7771435","83884471720022"
"-0.5793968","2.5785553","9.112331","83884481680074"
"-0.58418524","2.767697","7.644686","83884492040543"
"-0.5602432","2.5737667","7.45315","83884501651636"
"-0.533907","2.5187001","8.109161","83884511824553"
"-0.545878","2.5139117","8.7292595","83884521786376"
"-0.1364695","2.1787236","8.719683","83884531683251"
"-0.31603462","2.2050598","9.157822","83884541548459"
"-0.7517793","2.4372973","9.497798","83884551510386"
"-0.7206547","2.44448","9.569624","83884561580543"
"-0.6440403","2.5474305","9.595961","83884571517418"
"-0.61530983","2.7222073","9.734824","83884581517418"
"-0.61291564","2.7246015","9.593566","83884591715543"
"-0.6943185","2.7365725","9.258378","83884606267157"
"-0.7422025","2.6479871","9.138668","83884611738355"
"-0.63206923","2.5594015","9.0429","83884621597678"
"-0.48841715","2.504335","9.006987","83884631635438"
"-0.4261679","2.4660277","9.062054","83884641757626"
"-0.33039984","2.3391352","9.126697","83884651845491"
"-0.2801216","2.195483","9.208099","83884661670907"
"-0.3854665","2.1523874","9.097966","83884671507470"
"-0.47405192","2.1068976","8.961497","83884681659761"
"-0.7062895","2.087744","8.707711","83884691648563"
"-0.80684596","2.111686","8.468291","83884701652209"
"-0.8619126","2.1978772","8.377312","83884711782209"
"-0.80205756","2.2098482","8.439561","83884721663980"
"-0.7398083","2.2290018","8.683769","83884731666428"
"-0.7757214","2.1428106","8.963891","83884741636116"
"-0.7206547","2.1499932","9.179369","83884751652105"
"-0.6823475","2.0973208","9.02614","83884761698876"
"-0.6368576","2.0709844","9.021352","83884771683303"
"-0.641646","2.1212628","9.172187","83884781727418"
"-0.5793968","2.1332338","9.337387","83884791716115"
"-0.58418524","2.135628","9.421184","83884801885074"
"-0.59615624","2.1547816","9.301474","83884811719188"
"-0.60094464","2.0925324","8.985439","83884821510334"
"-0.21068975","2.1691468","6.7324953","83884831689032"
"-0.46686932","2.0207062","8.552089","83884841657782"
"-0.82121116","2.7389667","9.232041","83884851821480"
"-0.2657564","2.3558946","9.294291","83884861857209"
"-0.18435353","1.8531121","9.890448","83884871683876"
"-0.62249243","2.2026656","10.010158","83884881700907"
"-0.7637503","2.2337902","9.94312","83884891754501"
"-0.6727707","2.1428106","9.588778","83884901756220"
"-0.60812724","2.183512","9.325416","83884913998668"
"-0.48123455","2.1811178","8.966286","83884921530699"
"-0.45729253","2.1260512","8.846576","83884931534240"
"-0.62967503","2.2505496","9.064447","83884941520490"
"-0.59615624","2.2720973","9.23683","83884951814709"
"-0.48602295","2.1523874","9.064447","83884961507834"
"-0.45250413","2.1092918","9.054871","83884971796272"
"-0.5386954","2.0638018","8.954314","83884981755543"
"-0.6392518","2.0326772","8.858546","83884991788928"
"-0.5793968","2.0087352","8.76996","83885001597522"
"-0.5722142","2.0254946","8.714894","83885011795074"
"-0.5291186","2.0614076","8.604761","83885021693772"
"-0.45010993","2.0278888","8.611943","83885031667938"
"-0.45010993","2.0590134","8.659827","83885041667365"
"-0.48123455","2.0566192","8.841787","83885051705438"
"-0.50038815","1.958457","9.074024","83885061529553"
"-0.46208093","1.8698715","9.227253","83885072020699"
"-0.47884035","1.8818425","9.165004","83885081741376"
"-0.39983168","2.0015526","9.129091","83885091840907"
"-0.4285621","2.0949266","9.203311","83885101672365"
"-0.25378537","2.0829554","9.3182335","83885111662313"
"-0.25617957","2.0925324","9.423578","83885121756220"
"-0.25139117","2.1045034","9.272743","83885131804032"
"-0.23223756","2.1380222","9.25359","83885141792678"
"-0.10055647","2.147599","9.14585","83885151529032"
"-0.12449849","2.2002714","9.038112","83885161721480"
"-0.15083471","2.0973208","9.078813","83885171667313"
"-0.21787235","1.922544","9.229648","83885181524553"
"-0.24420857","1.8746599","9.275137","83885191685751"
"-0.4357447","1.8866309","9.232041","83885201762105"
"-0.49320555","1.8148049","9.01417","83885212300126"
"-0.5506664","1.7956513","8.875306","83885221701897"
"-0.5650316","1.7932571","8.90643","83885231510699"
"-0.50996494","1.8315643","8.987833","83885241767626"
"-0.45489833","1.8555063","9.141062","83885251708980"
"-0.39504328","1.8507179","9.196129","83885261732001"
"-0.29448682","1.9009962","9.095572","83885271707261"
"-0.2753332","1.8986019","9.119514","83885281523147"
"-0.25617957","1.9153614","9.157822","83885291694449"
"-0.2801216","1.8866309","9.165004","83885301684709"
"-0.18195933","1.9536686","9.215282","83885311715803"
"-0.12210429","2.0326772","9.241618","83885321701844"
"-0.18674773","2.0159178","9.454702","83885331526115"
"-0.17956513","1.9656396","9.55047","83885341674657"
"-0.20829555","1.9560628","9.31105","83885351769292"
"-0.1436521","2.0231004","8.99741","83885361704813"
"-0.11971009","2.1068976","8.825027","83885371549344"
"-0.016759412","2.0853498","8.784326","83885381531792"
"0.019153614","2.0949266","8.942344","83885391673251"
"0.07182605","2.1021092","9.138668","83885401606167"
"0.093373865","2.0757728","9.076419","83885411962522"
"0.06703765","2.0925324","9.035717","83885421687574"
"-0.05267244","2.066196","8.995016","83885431674917"
"-0.1364695","2.0039468","9.038112","83885441755542"
"-0.18435353","1.970428","8.992621","83885451502834"
"-0.18435353","1.9728222","9.002198","83885461710490"
"-0.047884032","2.111686","8.89446","83885471656584"
"-0.047884032","2.111686","8.89446","83885481662886"
"0.02873042","2.207454","9.088389","83885491664553"
"0.090979666","2.1787236","9.220071","83885501518094"
"-0.0023942017","2.0278888","9.334992","83885511810959"
"-0.5770026","2.3127987","8.78672","83885521682053"
"-0.5770026","2.2864625","8.238448","83885531817001"
"-0.30166942","1.946486","8.274361","83885541749761"
"-0.088585466","1.7932571","8.707711","83885551838511"
"-0.15562311","2.0638018","9.188946","83885561522834"
"-0.16280572","2.2002714","9.55047","83885571766532"
"-0.08379706","2.1643584","9.610326","83885581693719"
"0.0023942017","2.1643584","9.617508","83885591670334"
"-0.08140286","2.1428106","9.5385","83885601666532"
"-0.19871874","2.267309","9.440337","83885611837313"
"-0.34476504","2.2385786","9.23683","83885621857157"
"-0.36152446","2.207454","9.074024","83885631839761"
"-0.29688102","2.1284454","8.985439","83885641686324"
"-0.15322891","2.1667526","8.779537","83885651978355"
"-0.055066638","2.1021092","8.762778","83885661675542"
