"x-rot","y-rot","z-rot","rot-time"
"-0.002612419","0.14828023","0.9888041","83947535847342"
"-0.002872785","0.14886624","0.9887156","83947545887289"
"-0.00323091","0.14929388","0.9886512","83947555852081"
"-0.0037329413","0.14955527","0.98861223","83947565498748"
"-0.0043208967","0.14973414","0.9885853","83947575498644"
"-0.0048848684","0.14997166","0.98854893","83947585743644"
"-0.005348922","0.15034832","0.98849046","83947595960154"
"-0.0056710164","0.15079011","0.9884218","83947605875206"
"-0.005991794","0.15124331","0.98835105","83947615879946"
"-0.0064010713","0.15162842","0.9882902","83947625843592"
"-0.006949073","0.15191153","0.9882444","83947635986560"
"-0.007660775","0.1521474","0.9882053","83947645741456"
"-0.008356256","0.15235408","0.9881706","83947655850414"
"-0.009089113","0.15259874","0.98813033","83947665743904"
"-0.009981566","0.15300225","0.98806524","83947675702862"
"-0.010937663","0.1535598","0.9879766","83947685849894"
"-0.011901207","0.15429531","0.98786074","83947696136560"
"-0.012758645","0.15514782","0.98772776","83947705743539"
"-0.012960109","0.15630305","0.9875531","83947715774841"
"-0.011520181","0.1578698","0.98732287","83947725715831"
"-0.009220841","0.15929379","0.9871147","83947735752914"
"-0.0067322496","0.15992478","0.9870256","83947745709269"
"-0.0045394693","0.15998483","0.9870217","83947755504685"
"-0.0036755598","0.15977915","0.98705626","83947765731716"
"-0.0041727317","0.15945947","0.9871066","83947775575258"
"-0.0054758415","0.15909623","0.9871611","83947785651560"
"-0.007069036","0.1587262","0.98721385","83947795790258"
"-0.008798444","0.15837803","0.9872594","83947805808800"
"-0.010286941","0.1581067","0.9872911","83947815829633"
"-0.011271014","0.15791571","0.98731285","83947825807446"
"-0.011664415","0.1577854","0.98732954","83947835660571"
"-0.011451456","0.15761364","0.9873578","83947845792602"
"-0.010695845","0.15725702","0.9874179","83947855807029"
"-0.009682617","0.15667844","0.9875109","83947865796769"
"-0.008850791","0.15600576","0.9876125","83947875803331"
"-0.008352955","0.1553369","0.98770666","83947885815206"
"-0.008028577","0.15474129","0.98778504","83947895707966"
"-0.007671043","0.15423957","0.9878473","83947905781248"
"-0.0072037107","0.15380895","0.98789793","83947915911873"
"-0.006479431","0.15340549","0.98794454","83947925592133"
"-0.0057935524","0.15302241","0.987987","83947935924373"
"-0.005165406","0.15274161","0.988014","83947945875466"
"-0.0047229747","0.15253878","0.9880279","83947955543018"
"-0.0045658294","0.15238291","0.9880348","83947965753175"
"-0.0045934273","0.15217055","0.9880524","83947975703956"
"-0.004619446","0.15183358","0.98809165","83947986006925"
"-0.0046471534","0.15146264","0.9881387","83947995785779"
"-0.0047553587","0.15121855","0.9881679","83948005718331"
"-0.0049986243","0.15138435","0.988138","83948016037081"
"-0.005255534","0.15166554","0.988093","83948025916352"
"-0.005501527","0.15194611","0.98804796","83948035549164"
"-0.005771957","0.152249","0.9880022","83948045982341"
"-0.0061028237","0.15249285","0.98796636","83948055755154"
"-0.0066831736","0.15264261","0.9879456","83948065849164"
"-0.0074667726","0.15284665","0.987917","83948075967914"
"-0.007359036","0.15489353","0.987589","83948085546821"
"-0.007213585","0.15695518","0.9872544","83948095636404"
"-0.00559027","0.15846801","0.9870077","83948105952810"
"-0.0037158239","0.1589031","0.9869355","83948115832185"
"-0.0040554744","0.15825553","0.98703974","83948125506143"
"-0.0044041094","0.1576189","0.98714143","83948135512081"
"-0.0056577404","0.15686959","0.98726183","83948146167602"
"-0.006871825","0.15613338","0.9873778","83948155490466"
"-0.007686268","0.15589407","0.9874156","83948165928383"
"-0.008543641","0.15566486","0.98745066","83948175567810"
"-0.009015048","0.15609677","0.9873826","83948185742341"
"-0.009535645","0.15657374","0.98730683","83948196046612"
"-0.009821135","0.15701367","0.987235","83948205817550"
"-0.0099554155","0.1573245","0.98718274","83948215813070"
"-0.010174725","0.15763214","0.98712915","83948225621977"
"-0.010638129","0.15807465","0.9870498","83948235884008"
"-0.011207626","0.15858948","0.98695713","83948245714373"
"-0.011797455","0.15912856","0.9868592","83948255501820"
"-0.012254866","0.15965049","0.98676497","83948265747341"
"-0.012735992","0.16018064","0.98666793","83948275709998"
"-0.013128476","0.16054809","0.98659956","83948285755518"
"-0.013536874","0.16084842","0.98654115","83948295706612"
"-0.01392082","0.16103572","0.9865008","83948305633800"
"-0.0142931035","0.16112876","0.98647547","83948315947758"
"-0.014614766","0.16117953","0.98645616","83948325499164"
"-0.014899094","0.16126426","0.9864308","83948335792654"
"-0.015238439","0.1614941","0.9863819","83948345925466"
"-0.015692664","0.16182813","0.98631585","83948355526612"
"-0.016354911","0.1622373","0.9862371","83948365713070"
"-0.017141512","0.16260597","0.9861678","83948376005310"
"-0.01808898","0.16297512","0.9860999","83948385682497"
"-0.019171378","0.1633922","0.98602563","83948395698800"
"-0.02027401","0.16386758","0.985943","83948405943591"
"-0.021317061","0.16437776","0.9858548","83948415716039"
"-0.022424197","0.16500552","0.98574495","83948425681247"
"-0.023404054","0.1655007","0.98565507","83948435936716"
"-0.02456628","0.1660218","0.9855564","83948445800518"
"-0.02590646","0.16672236","0.98542345","83948455785362"
"-0.027252438","0.1676864","0.9852446","83948465667029"
"-0.028471494","0.16897233","0.9850114","83948475584997"
"-0.028288541","0.1705491","0.984757","83948485672654"
"-0.026754037","0.17198898","0.98454833","83948495720675"
"-0.024953116","0.17263924","0.9844744","83948505727393"
"-0.022821663","0.17230554","0.9845766","83948515666716"
"-0.021100208","0.1716336","0.98472846","83948525549372"
"-0.020831473","0.171133","0.98482126","83948535799893"
"-0.021616232","0.17072053","0.9848756","83948545819320"
"-0.022604661","0.17026457","0.98493177","83948556050362"
"-0.02354986","0.16968341","0.9850092","83948565499320"
"-0.0243046","0.16902624","0.98510194","83948575721560"
"-0.024643004","0.16840489","0.9851955","83948585776404"
"-0.024606077","0.16786714","0.9852822","83948595684529"
"-0.024363896","0.16741154","0.985359","83948606012237"
"-0.024033746","0.16702086","0.9854262","83948615604789"
"-0.023709912","0.1666592","0.9854867","83948626080518"
"-0.023568789","0.16641061","0.985522","83948635830674"
"-0.023748055","0.16637224","0.98551357","83948645811404"
"-0.024185866","0.16656832","0.9854588","83948655942133"
"-0.024713779","0.16696425","0.98536795","83948665779060"
"-0.025153004","0.16748701","0.9852562","83948676006820"
"-0.025438145","0.16800046","0.9851484","83948685522966"
"-0.025542812","0.16833654","0.98507595","83948695764477"
"-0.025624149","0.16849715","0.9850338","83948706079112"
"-0.025726542","0.16850165","0.98501647","83948715502706"
"-0.02582389","0.16839787","0.9850172","83948725742341"
"-0.02594355","0.16824411","0.9850257","83948735655831"
"-0.026078163","0.16806002","0.9850397","83948745512758"
"-0.026193533","0.1678871","0.9850546","83948755599529"
"-0.026284887","0.16771597","0.98507315","83948766340049"
"-0.026552534","0.16768816","0.985069","83948775690831"
"-0.026821671","0.167656","0.9850654","83948785537497"
"-0.027210593","0.1677356","0.9850442","83948795969008"
"-0.027497074","0.16789357","0.98501474","83948805698643"
"-0.027684228","0.16816811","0.9849708","83948815825779"
"-0.027839443","0.16855408","0.9849083","83948826137914"
"-0.028045943","0.16904919","0.98482335","83948836861404"
"-0.028379599","0.16966107","0.9847128","83948845497810"
"-0.028762136","0.17027113","0.9845997","83948856004529"
"-0.029127179","0.17084685","0.98449135","83948865537862"
"-0.029523589","0.17141548","0.98438334","83948875755258"
"-0.029949516","0.17187168","0.9842936","83948885602549"
"-0.030477371","0.17227866","0.9842109","83948895807497"
"-0.031038692","0.17266645","0.9841299","83948905711404"
"-0.03181787","0.1732094","0.98401856","83948915771247"
"-0.032582093","0.17373084","0.9839096","83948925553956"
"-0.03354803","0.17439689","0.98377275","83948935709945"
"-0.03462808","0.1752566","0.98359996","83948945607445"
"-0.035676118","0.1762494","0.9834064","83948955692966"
"-0.036715493","0.17738618","0.9831882","83948965901508"
"-0.037664574","0.17836772","0.98299736","83948975511612"
"-0.038700495","0.17938516","0.9827967","83948985694476"
"-0.039787523","0.18059528","0.9825573","83948996007445"
"-0.040937085","0.18181697","0.98230875","83949005994216"
"-0.042135634","0.1831099","0.9820386","83949015841716"
"-0.04331143","0.18455447","0.98173624","83949025804060"
"-0.044458866","0.18622966","0.9813847","83949035800206"
