x-acc,y-acc,z-acc,x-gyro,y-gyro,z-gyro,x-rot,y-rot,z-rot,y
-2.1619642000000003,3.891375866666667,8.56805,-0.26783001333333334,0.31125256,-0.10356242166666667,-0.11627325866666666,0.2363812133333333,0.9640149133333332,0
-1.6647682333333336,3.8211459333333337,7.944759133333332,-0.19404373666666666,0.08244415000000001,-0.10781932,-0.11851485866666667,0.2440314166666667,0.9613418400000001,0
-1.8571024333333332,3.750916,8.0373352,-0.1631812,0.09911701333333334,-0.09788655333333333,-0.12045400366666666,0.24356038333333332,0.9608302333333333,0
-1.6647682333333336,3.6016774666666667,7.810684266666667,-0.10642253333333333,0.04377730316666666,-0.09966026533333333,-0.11754255133333334,0.23589314000000003,0.9626207633333334,0
-1.8818425333333335,4.143565000000001,7.853779633333333,-0.12132168333333333,0.092022176,-0.07802101666666666,-0.11842610666666668,0.24877270333333334,0.9611985666666666,0
-1.9560628,4.2768424,8.199342566666665,-0.28521236666666666,0.09947175333333332,-0.11597838500000002,-0.12860627,0.25772063666666667,0.9572911333333334,0
-1.8866309666666663,4.1898531,7.1139714000000005,0.24228857,-0.013336114333333335,-0.0233907918,-0.13678194,0.26963728,0.9527272166666667,0
-2.9041667000000007,5.197811933333334,6.785167666666667,-0.38028314333333335,-0.16232763333333336,0.0049885446666666665,0.20561716666666666,-0.3226832966666667,-0.9238949200000001,1
-2.125253133333333,3.9560192666666665,7.829039666666667,0.004611621333333334,0.04803420566666666,-0.13903659,-0.13855266,0.2576533833333334,0.9561059866666666,0
-2.0757728666666666,4.102065333333333,7.848991133333333,0.06278926266666666,0.0012082998333333313,-0.03687097733333333,-0.14306404666666667,0.26797673333333333,0.9524226333333333,0
-1.9161594,4.3510626666666665,8.402052000000001,-0.18588468000000002,0.16368000166666666,-0.07376411533333332,-0.13964287,0.2774398633333333,0.9499620333333333,0
-2.1276473333333334,4.6160207333333325,7.341420533333333,-0.08549276800000001,0.13175325333333332,-0.005298964533333333,-0.15694315333333334,0.29793527,0.9414108433333334,2
-1.4524824,4.282428799999999,8.781134,-0.6488226266666667,-0.05377666999999999,-0.027647692666666668,-0.08394636333333333,0.2715401566666667,0.9586532433333333,0
-0.8818642899999999,4.068546566666666,8.315062333333332,-0.06243456380000001,-0.11904914533333333,0.03088468933333333,-0.10074511333333332,0.2697494833333333,0.9574890500000001,0
