x-acc,y-acc,z-acc,x-gyro,y-gyro,z-gyro,x-rot,y-rot,z-rot,y
0.80445176,1.9823990000000002,9.081207000000001,-0.22561574,0.13884808,-0.10462664,0.04667388,0.09976435,0.98446476,0
0.80445176,1.9823990000000002,9.081207000000001,-0.22561574,0.13884808,-0.10462664,0.04667388,0.09976435,0.98446476,2
0.80445176,1.9823990000000002,9.081207000000001,-0.22561574,0.13884808,-0.10462664,0.04667388,0.09976435,0.98446476,2
0.80445176,1.9823990000000002,9.081207000000001,-0.22561574,0.13884808,-0.10462664,0.04667388,0.09976435,0.98446476,0
-0.21787235,2.3630772,8.667010000000001,-0.24370758,0.12927006,-0.11633313,0.014303113000000001,-0.12538087,-0.99195087,0
-0.21787235,2.3630772,8.667010000000001,-0.24370758,0.12927006,-0.11633313,0.014303113000000001,-0.12538087,-0.99195087,2
-0.21787235,2.3630772,8.667010000000001,-0.24370758,0.12927006,-0.11633313,0.014303113000000001,-0.12538087,-0.99195087,3
-0.21787235,2.3630772,8.667010000000001,-0.24370758,0.12927006,-0.11633313,0.014303113000000001,-0.12538087,-0.99195087,5
-0.21787235,2.3630772,8.667010000000001,-0.24370758,0.12927006,-0.11633313,0.014303113000000001,-0.12538087,-0.99195087,4
-0.007182605,2.5713725,8.798691,-0.28095546,0.08670105,-0.088663265,0.013791615,0.13698289,0.99040955,0
-0.007182605,2.5713725,8.798691,-0.28095546,0.08670105,-0.088663265,0.013791615,0.13698289,0.99040955,4
-0.007182605,2.5713725,8.798691,-0.28095546,0.08670105,-0.088663265,0.013791615,0.13698289,0.99040955,6
-0.007182605,2.5713725,8.798691,-0.28095546,0.08670105,-0.088663265,0.013791615,0.13698289,0.99040955,3
-0.007182605,2.5713725,8.798691,-0.28095546,0.08670105,-0.088663265,0.013791615,0.13698289,0.99040955,2
-0.15801731,3.6583402,8.516175,-0.024443912999999998,0.1210556,-0.16003288,0.03442024,-0.18330263,-0.97432935,0
-0.15801731,3.6583402,8.516175,-0.024443912999999998,0.1210556,-0.16003288,0.03442024,-0.18330263,-0.97432935,8
-0.15801731,3.6583402,8.516175,-0.024443912999999998,0.1210556,-0.16003288,0.03442024,-0.18330263,-0.97432935,6
-0.47884035,3.7253778,8.3150625,0.10326310000000001,0.15191814,-0.1568402,0.048921805,-0.1857896,-0.9770398000000001,0
-0.47884035,3.7253778,8.3150625,0.10326310000000001,0.15191814,-0.1568402,0.048921805,-0.1857896,-0.9770398000000001,8
-0.47884035,3.7253778,8.3150625,0.10326310000000001,0.15191814,-0.1568402,0.048921805,-0.1857896,-0.9770398000000001,7
-0.47884035,3.7253778,8.3150625,0.10326310000000001,0.15191814,-0.1568402,0.048921805,-0.1857896,-0.9770398000000001,4
0.1412579,4.43885,8.111555000000001,0.0032259393,0.0784866,-0.20366612,0.018098043,-0.24130905,-0.9670799999999999,0
0.1412579,4.43885,8.111555000000001,0.0032259393,0.0784866,-0.20366612,0.018098043,-0.24130905,-0.9670799999999999,8
0.1412579,4.43885,8.111555000000001,0.0032259393,0.0784866,-0.20366612,0.018098043,-0.24130905,-0.9670799999999999,9
0.1412579,4.43885,8.111555000000001,0.0032259393,0.0784866,-0.20366612,0.018098043,-0.24130905,-0.9670799999999999,6
0.1412579,4.43885,8.111555000000001,0.0032259393,0.0784866,-0.20366612,0.018098043,-0.24130905,-0.9670799999999999,5
0.5243302,2.0829554,9.375694000000001,-0.24796447,0.21653652,-0.04077314,0.046740282,0.1042825,0.98242366,0
0.5243302,2.0829554,9.375694000000001,-0.24796447,0.21653652,-0.04077314,0.046740282,0.1042825,0.98242366,9
0.5243302,2.0829554,9.375694000000001,-0.24796447,0.21653652,-0.04077314,0.046740282,0.1042825,0.98242366,6
0.5243302,2.0829554,9.375694000000001,-0.24796447,0.21653652,-0.04077314,0.046740282,0.1042825,0.98242366,5
-0.021547815,1.9105729999999999,8.911219000000001,-0.18730363,0.114370905,-0.1195258,0.017899377,0.10490113,0.97926396,0
-0.021547815,1.9105729999999999,8.911219000000001,-0.18730363,0.114370905,-0.1195258,0.017899377,0.10490113,0.97926396,9
-0.021547815,1.9105729999999999,8.911219000000001,-0.18730363,0.114370905,-0.1195258,0.017899377,0.10490113,0.97926396,8
-0.021547815,1.9105729999999999,8.911219000000001,-0.18730363,0.114370905,-0.1195258,0.017899377,0.10490113,0.97926396,5
0.06943185,1.9393034,9.119514,-0.236258,0.14629766,-0.093984395,-0.007720505999999999,0.10212439999999999,0.9946924000000001,1
0.06943185,1.9393034,9.119514,-0.236258,0.14629766,-0.093984395,-0.007720505999999999,0.10212439999999999,0.9946924000000001,1
0.06943185,1.9393034,9.119514,-0.236258,0.14629766,-0.093984395,-0.007720505999999999,0.10212439999999999,0.9946924000000001,2
-0.059855044,1.8435352999999999,8.882488,-0.22774419,0.13459119,-0.09611285,1.094424e-05,0.096396185,0.99529356,1
-0.059855044,1.8435352999999999,8.882488,-0.22774419,0.13459119,-0.09611285,1.094424e-05,0.096396185,0.99529356,2
-0.059855044,1.8435352999999999,8.882488,-0.22774419,0.13459119,-0.09611285,1.094424e-05,0.096396185,0.99529356,3
-0.059855044,1.8435352999999999,8.882488,-0.22774419,0.13459119,-0.09611285,1.094424e-05,0.096396185,0.99529356,4
-0.33997664,2.183512,8.961497,-0.1766614,0.15587568,-0.04928694,0.011380688,0.12325627,0.97763234,1
-0.33997664,2.183512,8.961497,-0.1766614,0.15587568,-0.04928694,0.011380688,0.12325627,0.97763234,2
-0.33997664,2.183512,8.961497,-0.1766614,0.15587568,-0.04928694,0.011380688,0.12325627,0.97763234,3
-0.33997664,2.183512,8.961497,-0.1766614,0.15587568,-0.04928694,0.011380688,0.12325627,0.97763234,6
-0.33997664,2.183512,8.961497,-0.1766614,0.15587568,-0.04928694,0.011380688,0.12325627,0.97763234,4
0.11971009,2.834735,9.018958,-0.22455153,0.094150625,-0.102498196,0.015823135,0.13916856,0.98822963,1
0.11971009,2.834735,9.018958,-0.22455153,0.094150625,-0.102498196,0.015823135,0.13916856,0.98822963,2
0.11971009,2.834735,9.018958,-0.22455153,0.094150625,-0.102498196,0.015823135,0.13916856,0.98822963,3
0.11971009,2.834735,9.018958,-0.22455153,0.094150625,-0.102498196,0.015823135,0.13916856,0.98822963,6
-0.050278235,4.0294414,8.525752,-0.22455153,0.15481146,-0.123782694,-0.001832071,0.22057182,0.9751197,1
-0.050278235,4.0294414,8.525752,-0.22455153,0.15481146,-0.123782694,-0.001832071,0.22057182,0.9751197,2
-0.050278235,4.0294414,8.525752,-0.22455153,0.15481146,-0.123782694,-0.001832071,0.22057182,0.9751197,3
-0.050278235,4.0294414,8.525752,-0.22455153,0.15481146,-0.123782694,-0.001832071,0.22057182,0.9751197,8
-0.050278235,4.0294414,8.525752,-0.22455153,0.15481146,-0.123782694,-0.001832071,0.22057182,0.9751197,7
-0.47165772,2.2960392999999995,8.63828,-0.23093687,0.06754500000000001,-0.09611285,-0.019103596,0.13049552,0.9912625,1
-0.47165772,2.2960392999999995,8.63828,-0.23093687,0.06754500000000001,-0.09611285,-0.019103596,0.13049552,0.9912625,2
-0.47165772,2.2960392999999995,8.63828,-0.23093687,0.06754500000000001,-0.09611285,-0.019103596,0.13049552,0.9912625,3
-0.47165772,2.2960392999999995,8.63828,-0.23093687,0.06754500000000001,-0.09611285,-0.019103596,0.13049552,0.9912625,9
-0.49081135,3.7134068,8.204929,0.058565646,0.10189955,-0.19515231,0.07531418,-0.18986163,-0.952626,1
-0.49081135,3.7134068,8.204929,0.058565646,0.10189955,-0.19515231,0.07531418,-0.18986163,-0.952626,2
-0.49081135,3.7134068,8.204929,0.058565646,0.10189955,-0.19515231,0.07531418,-0.18986163,-0.952626,5
-0.49081135,3.7134068,8.204929,0.058565646,0.10189955,-0.19515231,0.07531418,-0.18986163,-0.952626,8
-0.15322891,2.6168625,8.796297000000001,-0.2320011,0.16119681,-0.093984395,-0.0070620724,0.14037457,0.989984,1
