"x-acc","y-acc","z-acc","time-acc"
"-1.9033904","2.980781","9.208099","102517128882892"
"-1.9033904","2.980781","9.208099","102517346991590"
"-1.7836803","2.980781","8.623915","102517356992163"
"-1.6998832","3.064578","8.7053175","102517366982267"
"-1.6352397","3.0478187","8.808268","102517376981642"
"-1.6496049","3.0573955","8.985439","102517386981173"
"-1.6400281","3.0238767","9.0429","102517396965080"
"-1.7190368","2.96881","9.021352","102517406964611"
"-1.7381904","2.9281087","8.791509","102517416964767"
"-1.8267759","2.89459","8.669404","102517426964402"
"-1.8770541","2.8419175","8.544906","102517436964455"
"-1.8842367","2.8443117","8.461109","102517446858361"
"-1.9081788","2.89459","8.554482","102517457038100"
"-1.8842367","2.873042","8.53054","102517467122684"
"-1.934515","2.9400797","8.566454","102517477122944"
"-1.8698715","2.9137435","8.66701","102517487155340"
"-1.8555063","2.980781","8.719683","102517497155288"
"-1.8195933","2.9592333","8.880095","102517507054507"
"-1.6903064","2.980781","8.966286","102517517226069"
"-1.6352397","2.9951463","9.045294","102517527251642"
"-1.5729905","2.9472623","8.961497","102517537153621"
"-1.5969325","2.9281087","8.880095","102517547072840"
"-1.6950948","2.944868","8.815451","102517557015652"
"-1.745373","2.9376855","8.827422","102517567128569"
"-1.8028339","2.9257145","8.736442","102517577163204"
"-1.7741034","2.9041667","8.702923","102517587031694"
"-1.745373","2.89459","8.597578","102517597155861"
"-1.721431","2.8658595","8.415619","102517607008204"
"-1.697489","2.9352913","8.336611","102517617979402"
"-1.6927006","2.9496565","8.576031","102517626863621"
"-1.6783354","2.9592333","8.7532015","102517637087996"
"-1.7310078","2.966416","8.939949","102517647483934"
"-1.7262194","2.9472623","8.913613","102517657000288"
"-1.7525556","2.9903579","8.913613","102517666888725"
"-1.733402","2.9520507","8.992621","102517677270288"
"-1.6998832","2.9041667","8.954314","102517687175444"
"-1.7429788","2.918532","8.947132","102517697033309"
"-1.8100165","2.9041667","8.832211","102517707741954"
"-1.8124107","2.9161377","8.664616","102517717771069"
"-1.7310078","2.920926","8.63828","102517727004506"
"-1.7525556","2.918532","8.616732","102517736898256"
"-1.7836803","2.9640217","8.597578","102517747165236"
"-1.8076223","3.0238767","8.50181","102517757039038"
"-1.8124107","2.9783869","8.485051","102517767162631"
"-1.7932571","2.980781","8.645462","102517777035027"
"-1.7070658","2.9783869","8.645462","102517787047371"
"-1.6998832","2.9712043","8.686164","102517797041850"
"-1.721431","2.9352913","8.746018","102517807032267"
"-1.7238252","2.906561","8.853758","102517817167371"
"-1.6448165","2.8921957","8.875306","102517827007736"
"-1.6998832","2.9376855","8.870518","102517837039298"
"-1.7046716","2.9616275","8.9040365","102517847027944"
"-1.7190368","2.930503","8.896853","102517856869923"
"-1.8243817","2.9281087","8.920795","102517867164506"
"-1.8531121","2.954445","8.755595","102517877008881"
"-1.8794483","2.908955","8.784326","102517887040965"
"-1.910573","2.9233203","8.664616","102517897064975"
"-1.8962077","2.9640217","8.497022","102517909101590"
"-1.8602947","2.9783869","8.4347725","102517917009819"
"-1.745373","2.9831753","8.504205","102517927586121"
"-1.7357962","3.0142999","8.595184","102517937496173"
"-1.673547","3.0621839","8.714894","102517947151225"
"-1.6256629","3.0550013","8.815451","102517957147736"
"-1.6328455","3.028665","8.875306","102517967148152"
"-1.6807296","3.004723","8.78672","102517977146381"
"-1.6998832","3.0095115","8.762778","102517987141277"
"-1.7645266","2.9616275","8.817844","102517997147631"
"-1.8387469","2.9616275","8.7125","102518007143256"
"-1.946486","2.944868","8.688558","102518017158204"
"-1.9321208","2.942474","8.631097","102518027210027"
"-1.9201498","2.9735985","8.597578","102518037165131"
"-1.8602947","2.9640217","8.616732","102518047151746"
"-1.8195933","2.9783869","8.6574335","102518057126850"
"-1.8315643","3.0478187","8.698134","102518067157944"
"-1.8411411","3.0095115","8.662222","102518077153465"
"-1.9081788","2.954445","8.645462","102518087156381"
"-1.8555063","3.016694","8.63828","102518097154923"
"-1.8698715","3.0238767","8.65025","102518107033517"
"-1.8626889","2.9855695","8.726865","102518116861538"
"-1.7477672","3.0358477","8.652645","102518127159298"
"-1.7381904","3.040636","8.734048","102518137032423"
"-1.6950948","3.0765493","8.695741","102518147157475"
"-1.733402","3.0142999","8.626308","102518157041069"
"-1.8124107","3.004723","8.662222","102518167154454"
"-1.8722657","2.9855695","8.695741","102518177159350"
"-1.9153614","2.9472623","8.662222","102518187036485"
"-1.9057846","2.9735985","8.750807","102518197158829"
"-1.8914193","3.0190883","8.829816","102518207156798"
"-1.9033904","3.0214825","8.836999","102518217039663"
"-1.9009962","3.016694","8.796297","102518227158256"
"-1.9129672","2.9712043","8.796297","102518237157423"
"-1.8626889","2.966416","8.669404","102518247037631"
"-1.8674773","3.0238767","8.6574335","102518257160027"
"-1.8315643","3.0119057","8.640674","102518267039871"
"-1.8483237","3.052607","8.611943","102518277123308"
"-1.8555063","3.0190883","8.7125","102518287158204"
"-1.8962077","3.0142999","8.686164","102518297038360"
"-1.8914193","3.0238767","8.746018","102518307155235"
"-1.970428","2.9951463","8.688558","102518317037058"
"-1.99437","3.0550013","8.765172","102518327167371"
"-2.018312","3.0262709","8.714894","102518337038308"
"-1.958457","3.040636","8.844181","102518347156538"
"-2.042254","3.0119057","8.801085","102518357039090"
"-2.0446482","3.0142999","8.848969","102518367156590"
"-2.171541","2.930503","8.317456","102518377037892"
"-2.1739352","3.083732","8.714894","102518387156537"
"-2.2601264","3.1531637","8.461109","102518397067579"
"-1.8650831","2.9113493","8.379706","102518407137110"
"-1.8076223","2.980781","8.499416","102518417038881"
"-1.9536686","3.1723173","8.465898","102518427291225"
"-1.8195933","3.1387985","8.6334915","102518437041642"
"-1.7741034","3.1651347","8.6574335","102518447038777"
"-1.7525556","3.1890767","8.7053175","102518456863256"
"-1.7501614","3.2249897","8.772355","102518467030392"
"-1.8052281","3.2441432","8.793902","102518477076850"
"-1.7788919","3.1866825","8.798691","102518487024246"
"-1.8746599","3.1675289","8.7771435","102518497054402"
"-1.9177556","3.1555579","8.635885","102518507310860"
"-1.9991584","3.181894","8.6813755","102518516867631"
"-2.0087352","3.1148565","8.686164","102518527025496"
"-1.9297266","3.0550013","8.595184","102518536890965"
"-1.8219875","3.1124623","8.494628","102518546877527"
"-1.8124107","3.0885203","8.480263","102518557062267"
"-1.8219875","3.1435869","8.585608","102518567093412"
"-2.042254","3.095703","8.566454","102518576879558"
"-2.1739352","3.0789435","8.576031","102518587058204"
"-2.1523874","3.0454245","8.652645","102518597089454"
"-2.1452048","2.980781","8.686164","102518607069454"
"-2.1811178","2.992752","8.722076","102518617071121"
"-2.1787236","3.0334535","8.5473","102518626880235"
"-2.0829554","3.0358477","8.549694","102518636869819"
"-2.0494366","3.0238767","8.4826565","102518646886485"
"-2.0614076","3.040636","8.50181","102518656874246"
"-2.0087352","3.098097","8.561666","102518666889454"
"-1.958457","3.1124623","8.59279","102518677043777"
"-1.9177556","3.122039","8.554482","102518687584610"
"-1.9440918","3.1435869","8.671799","102518697170600"
"-1.8626889","3.193865","8.789114","102518707089506"
"-1.8555063","3.1675289","8.78672","102518717183256"
"-1.8100165","3.1435869","8.655039","102518727064246"
"-1.8962077","3.0813377","8.597578","102518736899975"
"-1.9153614","3.0765493","8.62152","102518747027423"
"-1.9800048","3.0813377","8.623915","102518757079610"
"-1.934515","3.0621839","8.676587","102518767154142"
"-1.9177556","3.0789435","8.7532015","102518777055860"
"-1.9632454","3.0478187","8.645462","102518787215131"
"-2.1140802","3.0621839","8.542512","102518797071850"
"-2.1643584","3.0550013","8.5473","102518807033204"
"-2.1092918","3.0454245","8.429984","102518817005600"
"-2.042254","3.0310593","8.39886","102518827058569"
"-1.9680338","3.0454245","8.487445","102518837039350"
"-1.9608512","3.0430303","8.6574335","102518847853673"
"-1.8938135","3.13401","8.856153","102518857061537"
"-1.8531121","3.1675289","8.820239","102518867001746"
"-1.8195933","3.0789435","8.863335","102518877041016"
"-1.9177556","3.0693667","8.793902","102518887087162"
"-2.0015526","3.0454245","8.726865","102518897103985"
"-2.066196","3.0550013","8.611943","102518907037891"
"-2.243367","3.0573955","8.774749","102518916862162"
"-2.2529438","3.1172507","8.714894","102518927167735"
"-2.2888567","3.2082303","8.26239","102518936861798"
"-2.4492683","3.205836","8.578424","102518947010079"
"-2.231396","3.181894","8.444349","102518957047371"
"-1.8842367","2.9472623","8.403648","102518966873152"
"-1.9488802","3.0933087","8.331821","102518977020444"
"-1.9800048","3.157952","8.307879","102518987031537"
"-1.8267759","3.110068","8.39886","102518997031121"
"-1.6400281","3.1387985","8.614338","102519007081069"
"-1.4939818","3.2441432","8.700529","102519017014819"
"-1.5562311","3.4117374","8.892065","102519027170339"
"-1.5466543","3.394978","9.143456","102519037010756"
"-1.673547","3.289633","9.13388","102519046871433"
"-1.982399","3.229778","8.983045","102519057013204"
"-2.087744","3.1483753","8.762778","102519067096381"
"-2.0518308","3.0382419","8.413225","102519077015912"
"-1.8794483","3.0142999","8.252813","102519087298777"
"-1.9393034","3.0454245","8.185776","102519097486641"
"-1.9393034","3.0454245","8.185776","102519107026850"
"-2.018312","3.0142999","8.365341","102519117199610"
"-2.1164744","3.0190883","8.508993","102519127028725"
"-2.2002714","2.9783869","8.511387","102519137076693"
"-2.327164","2.9735985","8.6574335","102519147052110"
"-2.3056161","2.9520507","8.714894","102519157211121"
"-2.207454","2.8562827","8.9040365","102519167073673"
"-2.042254","2.896984","8.978256","102519177134714"
"-1.8602947","2.9592333","9.138668","102519187042162"
"-1.8435353","2.9472623","9.181764","102519197060912"
"-1.8411411","3.0430303","9.0237465","102519207167266"
"-1.9057846","3.0502129","8.836999","102519217115079"
"-1.958457","3.0310593","8.6574335","102519227068412"
"-2.0207062","3.0142999","8.614338","102519237914818"
"-2.0135236","3.0214825","8.585608","102519247056485"
"-1.9488802","2.9712043","8.497022","102519256875548"
"-1.9321208","2.9376855","8.377312","102519267050912"
"-1.8315643","2.9616275","8.494628","102519277052423"
"-1.7070658","3.0550013","8.640674","102519287749089"
"-1.6831238","3.074155","8.7125","102519297408985"
"-1.6567876","3.1387985","8.817844","102519307145704"
"-1.7381904","3.0885203","8.887277","102519317059714"
"-1.8387469","3.0430303","8.939949","102519327782423"
"-1.9009962","2.980781","8.801085","102519337077214"
"-2.042254","2.966416","8.722076","102519346890495"
"-2.0350714","2.966416","8.623915","102519356867579"
"-1.8722657","2.9855695","8.602366","102519366918933"
"-1.8626889","3.016694","8.597578","102519377166537"
"-1.8531121","2.9999347","8.724471","102519387071329"
"-1.8411411","3.0430303","8.765172","102519397125964"
"-1.8914193","3.0095115","8.736442","102519407080495"
"-2.0398598","2.9520507","8.652645","102519417243048"
"-2.2122424","2.9735985","8.520964","102519427136902"
"-2.2529438","3.0142999","8.532935","102519437588933"
"-2.0805612","2.966416","8.506598","102519447105600"
"-1.9393034","2.9400797","8.525752","102519457151745"
"-1.9297266","3.028665","8.690952","102519467111902"
"-1.8794483","3.0621839","8.829816","102519477276120"
"-1.9297266","3.0358477","8.978256","102519487504558"
"-2.0518308","3.0238767","9.0716305","102519497045183"
"-2.1428106","3.0454245","8.793902","102519507117787"
"-2.2385786","3.1364043","9.006987","102519517036641"
"-2.1547816","3.1316159","8.882488","102519527021589"
"-1.922544","2.908955","8.647857","102519537045600"
"-1.9321208","2.9400797","8.336611","102519547027162"
"-2.0326772","3.052607","8.202535","102519557095756"
"-1.922544","3.0142999","8.149862","102519567085912"
"-1.7645266","3.0502129","8.190564","102519577037006"
"-1.6903064","3.1268275","8.446744","102519587018204"
"-1.5682021","3.157952","8.564059","102519597048725"
"-1.5849615","3.2441432","8.678981","102519607085079"
"-1.5682021","3.2800562","8.75799","102519617082162"
"-1.685518","3.2513258","8.827422","102519628022527"
"-1.8052281","3.1747115","8.808268","102519637626797"
"-1.9297266","3.1268275","8.676587","102519647174454"
"-2.0805612","3.0693667","8.465898","102519657148047"
"-2.099715","3.0382419","8.248025","102519667210860"
"-2.0111294","2.930503","8.219295","102519677094818"
"-1.9201498","2.885013","8.243237","102519686863672"
"-1.8914193","2.920926","8.588001","102519696863777"
"-1.8148049","2.956839","8.913613","102519706864922"
"-1.7549498","3.0358477","9.205706","102519716868464"
"-1.8746599","3.1603463","9.272743","102519726865027"
"-1.6519991","3.0119057","9.131485","102519736861016"
"-1.6591818","3.0502129","8.966286","102519746871797"
"-1.6663644","2.9759927","8.810662","102519756878933"
"-1.6927006","2.837129","8.544906","102519766876693"
"-1.757344","2.791639","8.384495","102519776865808"
"-1.8555063","2.7461493","8.396465","102519786870287"
"-1.9536686","2.743755","8.360553","102519796865912"
"-1.982399","2.753332","8.37013","102519806880235"
"-1.9776106","2.822764","8.485051","102519816876693"
"-1.982399","2.8491","8.583213","102519826864245"
"-1.8555063","2.8682537","8.578424","102519836892214"
"-1.541866","2.858677","8.75799","102519846863829"
"-1.3120226","2.8634653","8.947132","102519856859506"
"-1.1348516","2.8921957","9.272743","102519866867631"
"-1.0606314","2.7820623","9.097966","102519876855547"
"-1.2186487","2.8993783","8.959103","102519886867839"
"-1.2473791","2.7868507","9.105149","102519896863308"
"-1.352724","2.719813","9.074024","102519906885704"
"-1.4460979","2.7269957","8.980651","102519917130547"
"-1.5490485","2.693477","8.825027","102519926868829"
"-1.532289","2.6647465","8.726865","102519936871433"
"-1.472434","2.6360161","8.578424","102519946866745"
"-1.4987702","2.681506","8.542512","102519956869401"
"-1.4556746","2.7485435","8.748413","102519966876693"
"-1.3838485","2.7988217","8.858546","102519976867318"
"-1.508347","2.705448","9.193734","102519986871641"
"-1.508347","2.705448","9.193734","102519997016589"
"-1.5107412","2.657564","9.150639","102520006961381"
"-1.4221559","2.6024973","9.045294","102520017278933"
"-1.3599066","2.6360161","9.01417","102520027069037"
"-1.3024458","2.6431987","8.911219","102520037046172"
"-1.2138603","2.6671407","8.911219","102520047128985"
"-1.2138603","2.669535","9.033323","102520057115808"
"-1.2880806","2.7126305","9.102755","102520067014193"
"-1.4413095","2.7509377","8.901642","102520077313151"
"-1.4413095","2.7509377","8.901642","102520087068776"
"-1.4173675","2.6599581","8.310274","102520097074974"
"-1.2952632","2.5258827","8.602366","102520107579037"
"-1.6184803","2.741361","8.836999","102520117166120"
"-1.5370775","2.8682537","8.465898","102520127086120"
