"x-rot","y-rot","z-rot","rot-time"
"0.13356814","-0.22292013","-0.96528894","108260300370128"
"0.1331765","-0.22214447","-0.96555245","108260310362055"
"0.13275841","-0.22186041","-0.96570265","108260320370024"
"0.1323679","-0.22193798","-0.9657623","108260330364659"
"0.13209568","-0.2222175","-0.9657539","108260340366743"
"0.13197847","-0.22252966","-0.96571183","108260350366795"
"0.13202935","-0.22274873","-0.9656642","108260360382732"
"0.13220945","-0.22280218","-0.9656336","108260370421795"
"0.1324452","-0.22265415","-0.9656398","108260380371743"
"0.13268219","-0.22231916","-0.9656887","108260390166743"
"0.13285752","-0.22181743","-0.96578485","108260400524920"
"0.13295183","-0.22118653","-0.96592313","108260410500909"
"0.13298336","-0.22050272","-0.96608245","108260420524816"
"0.13302955","-0.2198101","-0.9662421","108260430405180"
"0.13305856","-0.21918306","-0.9663894","108260440377316"
"0.13305426","-0.2186876","-0.9665114","108260450513305"
"0.13305172","-0.21835238","-0.9665964","108260460377472"
"0.13299921","-0.21816418","-0.9666539","108260470364243"
"0.13287005","-0.21807943","-0.96669734","108260480950232"
"0.13269807","-0.21805292","-0.9667321","108260490380024"
"0.13254522","-0.21803541","-0.96676135","108260500380857"
"0.1324668","-0.21797925","-0.9667889","108260510505128"
"0.1324595","-0.21785648","-0.9668216","108260520556430"
"0.1324465","-0.21764821","-0.9668749","108260530502107"
"0.13242315","-0.21740437","-0.96693784","108260540405024"
"0.1324075","-0.21719974","-0.9669917","108260550480180"
"0.13238223","-0.21706845","-0.9670304","108260560426586"
"0.1323573","-0.21703567","-0.9670471","108260570464190"
"0.13238163","-0.21710081","-0.9670343","108260580459347"
"0.13245596","-0.21724819","-0.9669955","108260590370857"
"0.1324949","-0.21740372","-0.96695876","108260600449607"
"0.13249068","-0.2175429","-0.96693075","108260610504295"
"0.13251238","-0.21764627","-0.9669065","108260620378513"
"0.13255697","-0.21772766","-0.9668842","108260630388253"
"0.13261122","-0.21782145","-0.9668585","108260640715857"
"0.13268463","-0.21798305","-0.9668161","108260650380440"
"0.13287842","-0.21822362","-0.9667392","108260660380961"
"0.133254","-0.2185555","-0.96661603","108260670381690"
"0.13375108","-0.21890102","-0.9664717","108260680374295"
"0.13438495","-0.21923949","-0.9663084","108260690913722"
"0.13504207","-0.21957222","-0.9661427","108260700745128"
"0.13558897","-0.21996023","-0.9659804","108260710501951"
"0.13593982","-0.2204094","-0.96583265","108260720379034"
"0.13611327","-0.22093748","-0.9656927","108260730398513"
"0.13618168","-0.22152995","-0.9655532","108260740355388"
"0.13630365","-0.22214647","-0.9653996","108260750348826"
"0.13657577","-0.222782","-0.96521884","108260760337211"
"0.13700454","-0.2233945","-0.9650193","108260770634607"
"0.13753603","-0.22391695","-0.96482396","108260780456378"
"0.13799669","-0.22431439","-0.9646661","108260790628097"
"0.13843547","-0.22460052","-0.9645365","108260800499867"
"0.13891928","-0.22476068","-0.9644291","108260810376690"
"0.1395099","-0.22487195","-0.96431714","108260820382420"
"0.14023305","-0.22505353","-0.96416897","108260830379086"
"0.14094521","-0.2253707","-0.9639899","108260840380857"
"0.14151894","-0.22578046","-0.96380883","108260850351795"
"0.14199015","-0.22623217","-0.9636315","108260860840076"
"0.14223415","-0.22672565","-0.9634774","108260870743982"
"0.14195059","-0.22714897","-0.9634188","108260880553670"
"0.1412415","-0.2273952","-0.9634661","108260890340961"
"0.14037523","-0.22742964","-0.9635866","108260900628357"
"0.13959019","-0.22728024","-0.9637387","108260910367472"
"0.1390685","-0.22698621","-0.9638859","108260920407888"
"0.1388619","-0.22663613","-0.96399957","108260930321013"
"0.13888372","-0.22629896","-0.96407604","108260940330753"
"0.13906322","-0.22606003","-0.96410525","108260950331222"
"0.13933772","-0.22594856","-0.96408963","108260960460440"
"0.13974404","-0.2259694","-0.96402323","108260970665024"
"0.14032923","-0.22613046","-0.9638977","108260980349503"
"0.14110005","-0.2264084","-0.96371746","108260990652628"
"0.14193884","-0.22678134","-0.9635052","108261000353513"
"0.14259782","-0.22723529","-0.9633006","108261010321430"
"0.14285184","-0.22767858","-0.9631586","108261020160024"
"0.14272466","-0.22808215","-0.9630827","108261030354919"
"0.14234544","-0.22832912","-0.96308064","108261040700336"
"0.14195123","-0.22836737","-0.96313006","108261050310649"
"0.1417405","-0.22823103","-0.96319294","108261060420544"
"0.14179212","-0.22794606","-0.963252","108261070311899"
"0.14207497","-0.22758727","-0.963294","108261080377159"
"0.1425356","-0.22718129","-0.96332127","108261090192524"
