"x-gyro","y-gyro","z-gyro","time-gyro"
"0.036183655","-0.2160377","0.11387209","106959915360003"
"-0.23306532","0.1697106","-0.1493241","106960235338336"
"-0.22135885","0.1814171","-0.14187452","106960245400420"
"-0.2149735","0.17822441","-0.13123228","106960255407868"
"-0.2149735","0.1686464","-0.12059002","106960265643128"
"-0.21816617","0.15800413","-0.111012","106960275378336"
"-0.22029462","0.15055457","-0.10462664","106960285403857"
"-0.22561574","0.1399123","-0.102498196","106960295785368"
"-0.2320011","0.13139851","-0.10781932","106960305394482"
"-0.236258","0.13352695","-0.1152689","106960315261357"
"-0.236258","0.13884808","-0.12165425","106960325447503"
"-0.23732223","0.14416921","-0.12591115","106960335401305"
"-0.24157913","0.14310499","-0.12484692","106960345225368"
"-0.24477181","0.14629766","-0.1152689","106960355365732"
"-0.24370758","0.14736189","-0.10781932","106960365587399"
"-0.24477181","0.14204076","-0.10356242","106960375375472"
"-0.24477181","0.13352695","-0.10143397","106960385594795"
"-0.23945068","0.13884808","-0.10143397","106960395577868"
"-0.22880843","0.15161878","-0.10675509","106960405357868"
"-0.22029462","0.15587568","-0.11314045","106960415745888"
"-0.21816617","0.14949033","-0.11739735","106960425624586"
"-0.21816617","0.14523344","-0.11739735","106960435223493"
"-0.21816617","0.14416921","-0.1152689","106960445405263"
"-0.2192304","0.14736189","-0.114204675","106960455543388"
"-0.22455153","0.14949033","-0.1152689","106960465439743"
"-0.23306532","0.14523344","-0.11633313","106960475450003"
"-0.24264336","0.12714161","-0.11739735","106960485420107"
"-0.25009292","0.11011401","-0.1195258","106960495418284"
"-0.2532856","0.11011401","-0.12271847","106960505225941"
"-0.25434983","0.12182048","-0.12591115","106960515213545"
"-0.25967094","0.1356554","-0.12165425","106960525731618"
"-0.2649921","0.13884808","-0.10994777","106960535406253"
"-0.2660563","0.13778386","-0.100369744","106960545222191"
"-0.26286364","0.15268302","-0.09611285","106960555505159"
"-0.25222138","0.13884808","-0.09717707","106960565219066"
"-0.23412955","0.107985556","-0.102498196","106960575564222"
"-0.20965236","0.099471755","-0.108883545","106960585217920"
"-0.19901012","0.11011401","-0.111012","106960595673753"
"-0.20113857","0.12607738","-0.10462664","106960605392295"
"-0.21390927","0.14949033","-0.093984395","106960615557711"
"-0.22667998","0.1697106","-0.08440637","106960625376565"
"-0.23306532","0.17396751","-0.08014947","106960635499170"
