"x-gyro","y-gyro","z-gyro","time-gyro"
"0.120257445","0.13302815","0.0010642251","82373610857255"
"-0.22135885","0.15587568","-0.093984395","82373930749494"
"-0.21284504","0.15481146","-0.114204675","82373940659077"
"-0.2107166","0.14310499","-0.1280396","82373950796265"
"-0.21710195","0.12820584","-0.1322965","82373960673609"
"-0.22667998","0.12075625","-0.12697537","82373970676890"
"-0.23519377","0.12182048","-0.12271847","82373980663609"
"-0.23732223","0.13139851","-0.12271847","82373990663973"
"-0.23838645","0.13459119","-0.12059002","82374000821057"
"-0.23945068","0.12714161","-0.12059002","82374010887463"
"-0.2405149","0.12394893","-0.11846157","82374020827463"
"-0.24477181","0.12394893","-0.11314045","82374030721629"
"-0.24796447","0.122884706","-0.10356242","82374040879338"
"-0.24796447","0.122884706","-0.10356242","82374050674077"
"-0.23519377","0.14523344","-0.08121369","82374060786004"
"-0.23412955","0.14949033","-0.06631454","82374071137827"
"-0.23519377","0.14523344","-0.058864966","82374080906942"
"-0.23306532","0.14523344","-0.052479614","82374090884129"
"-0.22880843","0.14204076","-0.05354384","82374100677879"
"-0.22029462","0.13778386","-0.056736514","82374110812723"
"-0.2064597","0.14416921","-0.060993414","82374120954859"
"-0.19581744","0.14949033","-0.06631454","82374130852932"
"-0.19581744","0.14204076","-0.06418609","82374140871942"
"-0.20113857","0.12820584","-0.06205764","82374150677411"
"-0.21390927","0.12501316","-0.06844299","82374160687254"
"-0.22561574","0.13884808","-0.07482834","82374170839494"
"-0.23412955","0.15055457","-0.085470594","82374180685848"
"-0.23945068","0.15374723","-0.09292017","82374190675536"
"-0.23945068","0.14523344","-0.099305525","82374200676577"
"-0.23519377","0.12820584","-0.111012","82374210877671"
"-0.22774419","0.12820584","-0.11846157","82374220677046"
"-0.22561574","0.13352695","-0.12484692","82374230671890"
"-0.23306532","0.14097653","-0.12697537","82374241048973"
"-0.24264336","0.15268302","-0.12697537","82374250671421"
"-0.24477181","0.16545372","-0.12271847","82374260799390"
"-0.24157913","0.16758215","-0.11633313","82374270679963"
"-0.23093687","0.15587568","-0.108883545","82374280823400"
"-0.21390927","0.15161878","-0.10356242","82374290849181"
"-0.19688167","0.16226104","-0.093984395","82374300789650"
"-0.19368899","0.16438949","-0.08759904","82374310868140"
"-0.20858815","0.14842612","-0.07695679","82374320679754"
"-0.22880843","0.12182048","-0.06737877","82374330678088"
"-0.23945068","0.105857104","-0.06312186","82374340884077"
"-0.23732223","0.10692133","-0.05992919","82374350681265"
"-0.2234873","0.14097653","-0.06205764","82374362065275"
"-0.2064597","0.19631624","-0.07482834","82374370681056"
"-0.2022028","0.2410137","-0.09717707","82374380812723"
"-0.21816617","0.24633482","-0.123782694","82374390681525"
"-0.2490287","0.20376581","-0.14613143","82374400951056"
"-0.27989122","0.14629766","-0.15145256","82374410871161"
"-0.2947904","0.10479288","-0.14187452","82374420677984"
"-0.29266194","0.08989373","-0.12591115","82374430678244"
"-0.2703132","0.111178234","-0.114204675","82374440673036"
"-0.24264336","0.15374723","-0.114204675","82374450679390"
"-0.22455153","0.19631624","-0.12165425","82374460676525"
"-0.2234873","0.22292188","-0.1280396","82374470674286"
"-0.23306532","0.22611454","-0.12697537","82374480674963"
"-0.23945068","0.21440807","-0.108883545","82374490674546"
"-0.2320011","0.19312356","-0.08759904","82374500672931"
"-0.2149735","0.17928864","-0.07269989","82374510838921"
"-0.19688167","0.1697106","-0.065250315","82374520676265"
"-0.18943208","0.16651794","-0.06631454","82374530678140"
"-0.19156054","0.16013259","-0.06844299","82374540792931"
"-0.20326702","0.14842612","-0.07163566","82374550666890"
"-0.22135885","0.13671963","-0.06950721","82374560673869"
"-0.23412955","0.13033429","-0.06631454","82374570676733"
"-0.23519377","0.12501316","-0.06631454","82374580677254"
"-0.22774419","0.11649936","-0.07057144","82374590664650"
"-0.22029462","0.1016002","-0.08121369","82374600666265"
"-0.22135885","0.085636824","-0.09292017","82374610664754"
"-0.236258","0.07286613","-0.10675509","82374620670327"
"-0.25434983","0.067545","-0.11846157","82374630668608"
"-0.2660563","0.07286613","-0.13123228","82374640667098"
"-0.2649921","0.09308641","-0.13548918","82374650668036"
"-0.2405149","0.12820584","-0.11846157","82374660669442"
"-0.19368899","0.17928864","-0.08759904","82374670667254"
"-0.14260618","0.20908695","-0.05035116","82374680669285"
"-0.09897296","0.18886667","-0.025873985","82374690670015"
"-0.10429408","0.06648077","-0.079085246","82374700670588"
"-0.22667998","-0.19957551","-0.15251678","82374710679025"
"-0.32352448","-0.24852988","-0.15677367","82374720675327"
"-0.34906587","-0.08144652","-0.12910382","82374731158452"
"-0.34480897","0.035618246","-0.12271847","82374740738817"
"-0.31607488","0.1356554","-0.09079172","82374750805535"
"-0.26712054","0.21653652","-0.04609426","82374760675692"
