"x-acc","y-acc","z-acc","time-acc"
"-1.4987702","4.225766","8.475474","106499475264607"
"-1.4987702","4.225766","8.5473","106499695870961"
"-1.8746599","4.060566","8.628703","106499705872523"
"-1.8195933","4.0581717","8.652645","106499715864138"
"-1.7286136","4.039018","8.702923","106499725856221"
"-1.7621324","4.060566","8.686164","106499735854711"
"-1.6903064","4.060566","8.664616","106499745856846"
"-1.6903064","4.1252093","8.4826565","106499755863044"
"-1.5921441","4.1515455","8.267179","106499765855753"
"-1.5849615","4.223372","8.248025","106499775866846"
"-1.5825673","4.1683054","8.180987","106499785853096"
"-1.5897499","4.1922474","8.109161","106499795857419"
"-1.5610195","4.2161894","8.14268","106499805926638"
"-1.5442601","4.189853","8.145074","106499815754450"
"-1.5131354","4.2401314","8.109161","106499825768253"
"-1.4652514","4.1922474","8.078036","106499835781221"
"-1.5634137","4.235343","8.003817","106499845759503"
"-1.6136919","4.189853","7.9846625","106499855771065"
"-1.6376339","4.173094","7.941567","106499865795961"
"-1.7238252","4.1395745","8.025364","106499876063825"
"-1.7836803","4.177882","8.12592","106499885759450"
"-1.7597382","4.0342298","8.341399","106499895927940"
"-1.7597382","4.0342298","8.341399","106499907751898"
"-1.8579005","4.0414124","8.384495","106499915912836"
"-1.9057846","4.0294414","8.295909","106499926012992"
"-1.958457","4.050989","8.149862","106499935937575"
"-1.9129672","4.0198646","8.1642275","106499945921482"
"-1.9033904","4.000711","8.14268","106499955756221"
"-1.8219875","4.012682","8.185776","106499965916273"
"-1.7501614","4.0198646","8.355764","106499975765752"
"-1.7980455","3.9839516","8.520964","106499985908461"
"-1.7932571","3.952827","8.564059","106499995792940"
"-1.8124107","3.9456444","8.566454","106500005992992"
"-1.8579005","3.9624038","8.544906","106500015916742"
"-1.8148049","3.928885","8.583213","106500025764294"
"-1.7860745","3.940856","8.573636","106500035759450"
"-1.7070658","3.9456444","8.573636","106500045767888"
"-1.70946","3.9217024","8.494628","106500055776794"
"-1.6711528","3.9791632","8.408437","106500065769502"
"-1.5658079","4.0078936","8.420407","106500075755336"
"-1.5131354","4.0222588","8.453926","106500085757523"
"-1.472434","4.0222588","8.432379","106500095810596"
"-1.5251064","4.072537","8.422802","106500105758461"
"-1.5442601","4.096479","8.334216","106500115752627"
"-1.6567876","4.0557775","8.305486","106500125771221"
"-1.6998832","4.1132383","8.259995","106500136024502"
"-1.6903064","4.0677485","8.238448","106500145983721"
"-1.7477672","4.0581717","8.204929","106500155770961"
"-1.7262194","4.0557775","8.214506","106500165759659"
"-1.7836803","4.0342298","8.221688","106500175758461"
"-1.8076223","3.952827","8.173804","106500185957940"
"-1.8339585","3.9264908","8.171411","106500195765075"
"-1.8866309","3.9863458","8.130709","106500205751742"
"-1.9177556","3.9839516","8.087613","106500216430232"
"-1.8148049","3.9576154","8.12592","106500225762992"
"-1.7286136","3.881001","8.166622","106500235915127"
"-1.733402","3.928885","8.228871","106500245763982"
"-1.7621324","3.9145198","8.303091","106500255761950"
"-1.70946","3.9193082","8.403648","106500265953773"
"-1.6567876","3.9240966","8.355764","106500275902679"
"-1.6831238","3.928885","8.437167","106500285766898"
"-1.6472107","4.012682","8.456321","106500295760179"
"-1.6328455","3.9959226","8.571242","106500305759502"
"-1.6184803","3.9863458","8.520964","106500315757107"
"-1.5777789","4.003105","8.573636","106500325763825"
"-1.6424223","4.0294414","8.645462","106500335755232"
"-1.6543933","4.024653","8.583213","106500345754607"
"-1.6256629","4.012682","8.552089","106500355756586"
"-1.7022774","3.9983168","8.564059","106500365770284"
"-1.6759412","4.000711","8.451532","106500376172211"
"-1.6927006","3.9624038","8.47308","106500385780284"
"-1.6783354","3.964798","8.300697","106500395755336"
"-1.6184803","3.9217024","8.295909","106500405752419"
"-1.6591818","3.9695864","8.238448","106500415762002"
"-1.7238252","3.9384618","8.336611","106500425753929"
"-1.7621324","3.9432502","8.343793","106500435759346"
"-1.7980455","3.9336734","8.255207","106500445766690"
"-1.7956513","3.9600096","8.219295","106500455756429"
"-1.7597382","3.964798","8.209718","106500465755492"
"-1.70946","3.9456444","8.2169","106500475765596"
"-1.6879122","3.952827","8.221688","106500485761586"
"-1.6927006","3.98874","8.231265","106500495768929"
"-1.70946","3.9743748","8.279149","106500506055127"
"-1.6903064","3.9983168","8.312668","106500515761325"
"-1.6998832","4.015076","8.391677","106500525772784"
"-1.6567876","4.024653","8.3821","106500535763877"
"-1.6328455","4.0533834","8.346188","106500545768044"
"-1.6089035","4.0581717","8.303091","106500555766013"
"-1.6376339","4.010288","8.269572","106500565797523"
"-1.6256629","4.010288","8.300697","106500575766429"
"-1.6089035","4.036624","8.291121","106500586044763"
"-1.6376339","3.964798","8.4108305","106500595754606"
"-1.6424223","3.9600096","8.492233","106500605752002"
"-1.6903064","3.9193082","8.53054","106500615775127"
"-1.757344","3.8762126","8.511387","106500625781013"
"-1.8148049","3.8426938","8.532935","106500635765856"
"-1.8363527","3.7972038","8.451532","106500645769658"
"-1.8531121","3.8307228","8.461109","106500655767367"
"-1.8626889","3.8187518","8.422802","106500665770023"
"-1.8148049","3.8738184","8.379706","106500675765596"
"-1.7860745","3.8953662","8.3868885","106500685781742"
"-1.7549498","3.9145198","8.394072","106500695767731"
"-1.6687586","3.9719806","8.394072","106500705768513"
"-1.6448165","4.0438066","8.406042","106500715768773"
"-1.5562311","4.036624","8.26239","106500725778044"
"-1.520318","4.0916905","8.288726","106500735777419"
"-1.4676456","4.1012673","8.257602","106500745777106"
"-1.5155296","4.1419687","8.24563","106500755776117"
"-1.532289","4.0821137","8.219295","106500765767419"
"-1.5227122","4.1036615","8.200141","106500775763721"
"-1.496376","4.10845","8.209718","106500785751481"
"-1.5442601","4.1060557","8.212111","106500795766377"
"-1.5825673","4.098873","8.269572","106500805752679"
"-1.6184803","4.0821137","8.204929","106500815768617"
"-1.6136919","4.0438066","8.336611","106500825754398"
"-1.5921441","3.9983168","8.336611","106500835769658"
"-1.5945383","3.9863458","8.408437","106500845752419"
"-1.6160861","3.892972","8.4587145","106500855778669"
"-1.6903064","3.8833952","8.480263","106500865772679"
"-1.7525556","3.8833952","8.453926","106500875770804"
"-1.8052281","3.928885","8.377312","106500885810335"
"-1.8148049","3.9097314","8.4108305","106500895767940"
"-1.8124107","3.9576154","8.51857","106500905772731"
"-1.757344","3.9360676","8.497022","106500915767367"
"-1.721431","3.881001","8.588001","106500925776221"
"-1.697489","3.857059","8.559271","106500935767158"
"-1.7597382","3.8666358","8.415619","106500945777627"
"-1.7860745","3.8953662","8.432379","106500955766169"
"-1.7597382","3.8522706","8.377312","106500965751533"
"-1.7597382","3.9073372","8.259995","106500975765700"
"-1.7118542","3.940856","8.327033","106500985752940"
"-1.6759412","3.9695864","8.331821","106500995773304"
"-1.7286136","3.98874","8.26239","106501005753252"
"-1.7549498","4.000711","8.394072","106501015762210"
"-1.721431","4.015076","8.310274","106501025752002"
"-1.733402","4.036624","8.327033","106501035767783"
"-1.7118542","3.9983168","8.288726","106501046047835"
"-1.673547","4.0318356","8.283937","106501055765335"
"-1.6448165","4.0701427","8.276755","106501065769815"
"-1.5825673","4.048595","8.360553","106501075766846"
"-1.5825673","4.072537","8.298303","106501085781169"
"-1.6065093","4.074931","8.360553","106501095765544"
"-1.5298948","4.0821137","8.317456","106501105771690"
"-1.5634137","4.1132383","8.367735","106501115775127"
"-1.5442601","4.060566","8.374918","106501125772835"
"-1.5753847","4.048595","8.3390045","106501135768408"
"-1.5897499","3.9935284","8.394072","106501145794502"
"-1.6184803","4.024653","8.346188","106501155766273"
"-1.6472107","4.003105","8.329428","106501165784398"
"-1.6352397","4.0294414","8.305486","106501175766690"
"-1.5993267","4.027047","8.331821","106501185771846"
"-1.5729905","3.9719806","8.365341","106501195766690"
"-1.5227122","4.0581717","8.413225","106501205788044"
"-1.553837","4.0773253","8.379706","106501215754606"
"-1.5562311","4.048595","8.365341","106501225753304"
"-1.6567876","4.0677485","8.485051","106501235768617"
"-1.6998832","4.0821137","8.42759","106501246046585"
"-1.6903064","4.122815","8.401254","106501255768460"
"-1.6663644","4.084508","8.389283","106501265752471"
"-1.6639702","4.1132383","8.283937","106501275768148"
"-1.6591818","4.1611223","8.281544","106501285797992"
"-1.5945383","4.132392","8.145074","106501295768200"
"-1.6017209","4.185065","8.166622","106501305789919"
"-1.6711528","4.144363","8.360553","106501315767523"
"-1.7166426","4.1180267","8.343793","106501325770804"
"-1.7669208","4.06296","8.360553","106501335765544"
"-1.8411411","4.1611223","8.24563","106501345774085"
"-1.8052281","4.1180267","8.23366","106501355777002"
"-1.769315","4.1419687","8.128315","106501365764658"
"-1.6998832","4.1611223","8.169016","106501375768252"
"-1.6567876","4.134786","8.046912","106501385768356"
"-1.6711528","4.1922474","8.130709","106501395778148"
"-1.7477672","4.1946416","8.185776","106501405798304"
"-1.7501614","4.1946416","8.212111","106501415767158"
"-1.7932571","4.1802764","8.173804","106501425790596"
"-1.8004397","4.1946416","8.271967","106501435767419"
"-1.8148049","4.2161894","8.327033","106501445770335"
"-1.7860745","4.19943","8.350976","106501455765856"
"-1.7525556","4.235343","8.420407","106501465773200"
"-1.7262194","4.187459","8.228871","106501475764710"
"-1.7429788","4.1515455","8.204929","106501485752783"
"-1.769315","4.211401","8.180987","106501495773877"
"-1.7788919","4.223372","8.1163435","106501505758721"
"-1.8363527","4.297592","8.180987","106501515776429"
"-1.769315","4.2305546","8.197746","106501525755596"
"-1.8195933","4.24492","8.298303","106501535756794"
"-1.8171991","4.24492","8.334216","106501545777054"
"-1.7717092","4.268862","8.221688","106501555787991"
"-1.7884687","4.309563","8.178593","106501566045491"
"-1.7405846","4.3167458","8.0684595","106501575773252"
"-1.7166426","4.3023806","8.030152","106501585766325"
"-1.7501614","4.3598413","8.080431","106501595764971"
"-1.7046716","4.343082","8.130709","106501605775023"
"-1.7262194","4.367024","8.178593","106501616029294"
"-1.7310078","4.3047748","8.1163435","106501625773096"
"-1.745373","4.3239284","8.133103","106501635766533"
"-1.6903064","4.309563","8.09719","106501645770335"
"-1.6879122","4.3167458","8.099585","106501655765491"
"-1.7717092","4.367024","8.128315","106501665765700"
"-1.8602947","4.3478703","8.145074","106501675763669"
"-1.8626889","4.31914","8.030152","106501685759762"
"-1.8507179","4.247314","7.991845","106501695766585"
"-1.8435353","4.3143516","8.094796","106501705798512"
"-1.8339585","4.2760444","7.955932","106501715766689"
"-1.8435353","4.259285","7.9487495","106501725771273"
"-1.7980455","4.256891","7.97748","106501735771168"
"-1.7238252","4.271256","7.989451","106501745756377"
"-1.7621324","4.2784386","8.106767","106501755767991"
"-1.8842367","4.321534","8.259995","106501765776116"
"-1.8938135","4.3023806","8.3150625","106501775775648"
"-1.8698715","4.331111","8.437167","106501785783929"
"-1.8650831","4.3287168","8.441956","106501795772887"
"-1.9153614","4.345476","8.451532","106501805772418"
"-1.982399","4.3382936","8.549694","106501815765908"
"-1.9800048","4.3646297","8.588001","106501825775543"
"-2.0015526","4.2880154","8.540117","106501835767627"
"-2.0733786","4.4340615","7.979874","106501845786950"
"-2.0254946","4.4556093","8.106767","106501855767054"
"-1.7190368","4.4244847","7.8888946","106501865770335"
"-1.673547","4.187459","7.896077","106501875774450"
"-1.6711528","4.1491513","7.8649526","106501886079137"
"-1.7956513","4.426879","7.8266454","106501895985127"
"-1.9297266","4.453215","7.9248075","106501906048721"
"-2.0111294","4.4603977","8.226477","106501918203460"
"-2.0398598","4.4556093","8.492233","106501926039033"
"-1.8243817","4.3885717","8.748413","106501935759658"
"-1.8411411","4.3358994","8.803479","106501945749085"
"-1.8962077","4.3742065","8.568848","106501955924918"
"-2.1523874","4.4556093","8.09719","106501965756377"
"-2.3558946","4.5513773","7.680599","106501975910595"
"-2.2840683","4.546589","7.457938","106501985751637"
"-2.2146366","4.4819455","7.6590514","106501995907470"
"-2.0374656","4.3382936","7.7811556","106502005752054"
"-1.9919758","4.2425256","8.027759","106502015758252"
"-2.0135236","4.1299977","8.157045","106502025915231"
"-1.9871874","4.072537","8.145074","106502035905752"
"-2.0135236","4.0677485","8.1402855","106502045802366"
"-2.087744","4.1276035","7.97748","106502055797523"
"-2.054225","4.146757","7.8290396","106502065769606"
"-1.9321208","4.185065","7.7931266","106502075770491"
"-1.8435353","4.209007","7.687782","106502085762575"
"-1.8866309","4.2521024","7.678205","106502096037002"
"-1.7836803","4.247314","7.6470804","106502105764866"
"-1.8483237","4.3047748","7.6973586","106502115767887"
"-1.8052281","4.280833","7.93199","106502125753668"
"-1.7932571","4.1299977","8.046912","106502135878304"
"-1.8435353","4.211401","8.944737","106502146010908"
"-1.8363527","4.1132383","9.296685","106502155755960"
"-1.8387469","4.0701427","9.421184","106502165951012"
"-1.8866309","4.0533834","9.378088","106502175755491"
"-1.970428","4.10845","8.990228","106502185940960"
"-1.9895816","4.156334","8.619126","106502195762262"
"-1.8842367","4.1012673","8.307879","106502205785022"
"-1.8435353","4.0701427","8.159439","106502216078252"
"-1.8818425","4.084508","8.106767","106502225909033"
"-1.8124107","4.072537","8.212111","106502235895335"
"-1.7549498","4.0438066","8.207323","106502245751325"
"-1.7812861","4.074931","8.128315","106502255814189"
"-1.7405846","4.0557775","8.094796","106502265949293"
"-1.7549498","4.0557775","8.195353","106502275780752"
"-1.7310078","4.015076","8.248025","106502285957835"
"-1.7070658","3.9264908","8.238448","106502295769554"
"-1.757344","3.9576154","8.224083","106502305989397"
"-1.8267759","4.0222588","8.063671","106502316004450"
"-1.8890251","4.027047","8.046912","106502325788512"
"-1.7741034","4.024653","7.9870567","106502335774397"
"-1.7070658","4.048595","8.106767","106502345770022"
"-1.769315","4.050989","8.331821","106502355923825"
"-1.8483237","3.9911342","8.437167","106502365759033"
"-1.9009962","4.012682","8.420407","106502375786689"
"-1.9297266","4.0078936","8.5473","106502386026689"
"-1.9297266","3.9935284","8.425196","106502395755283"
"-1.922544","4.0078936","8.465898","106502405967887"
"-1.8698715","4.015076","8.384495","106502415754345"
