"x-acc","y-acc","z-acc","time-acc"
"-1.4197617","3.3207579","8.51857","102383529145808"
"-1.4197617","3.3207579","8.62152","102383751419506"
"-1.4053963","3.2321723","8.695741","102383761416120"
"-1.4341269","3.2441432","8.6574335","102383771404714"
"-1.472434","3.2824504","8.616732","102383781400235"
"-1.4317327","3.2824504","8.429984","102383791403360"
"-1.4317327","3.289633","8.401254","102383801401797"
"-1.3575124","3.3087866","8.607155","102383811402787"
"-1.2138603","3.2632968","8.700529","102383821401120"
"-1.1779473","3.289633","8.784326","102383831404453"
"-1.1683705","3.347094","8.829816","102383841401172"
"-1.292869","3.3494883","8.954314","102383851316693"
"-1.3215994","3.2225955","8.971074","102383861476328"
"-1.3359646","3.2728736","8.887277","102383871300495"
"-1.376666","3.2082303","8.834604","102383881297891"
"-1.3742718","3.1986535","8.736442","102383891563828"
"-1.3599066","3.193865","8.59279","102383901314714"
"-1.3814543","3.2082303","8.3150625","102383911556589"
"-1.4149733","3.193865","8.276755","102383921515755"
"-1.3814543","3.1890767","8.224083","102383931513099"
"-1.340753","3.181894","8.219295","102383941307839"
"-1.4293385","3.2465374","8.470686","102383951500860"
"-1.292869","3.4021606","9.035717","102383961456745"
"-1.0893618","3.301604","9.251195","102383971595547"
"-0.9672575","3.2680852","9.52174","102383981461745"
"-0.92416185","3.2728736","9.586384","102383991687005"
"-1.0031705","3.205836","9.375694","102384001528880"
"-1.0414777","3.1651347","9.136273","102384011457683"
"-1.0941502","3.074155","8.808268","102384021308776"
"-1.0606314","3.0502129","8.6334915","102384031445287"
"-1.0702082","2.9712043","8.465898","102384041458724"
"-0.9840169","3.004723","8.468291","102384053834766"
"-0.89303726","3.0382419","8.418014","102384061435495"
"-0.90261406","3.1531637","8.346188","102384071550703"
"-0.89064306","3.2106245","8.291121","102384081322266"
"-0.8451532","3.2848446","8.157045","102384091471693"
"-0.8379706","3.2465374","8.310274","102384101323828"
"-0.7661445","3.3973722","8.724471","102384111356172"
"-0.7206547","3.3494883","9.102755","102384121509037"
"-0.6368576","3.323152","9.414001","102384131448255"
"-0.7015011","3.3207579","9.272743","102384141528828"
"-0.78769237","3.3135753","9.121908","102384151438672"
"-0.81402856","3.2752678","9.109938","102384161534349"
"-0.8499416","3.145981","8.717288","102384171304297"
"-0.91219085","3.0358477","8.664616","102384181471432"
"-1.0726024","3.0909145","8.578424","102384191519922"
"-1.0869676","3.0885203","8.463503","102384201317474"
"-1.1180922","3.0813377","8.4826565","102384211472839"
"-1.2306197","3.052607","8.463503","102384221317370"
"-1.2449849","3.0310593","8.5473","102384231470339"
"-1.1827357","3.071761","8.614338","102384241300234"
"-1.1994951","3.0382419","8.688558","102384251472526"
"-1.2473791","3.074155","8.858546","102384261598203"
"-1.2497733","3.107674","8.90643","102384271445651"
"-1.0989386","3.107674","8.913613","102384281468984"
"-1.1204864","3.1531637","8.956709","102384291657057"
"-0.9840169","3.1914709","9.002198","102384301473464"
"-0.90500826","3.1148565","8.8777","102384311492787"
"-0.85473","3.1268275","9.004593","102384321478255"
"-0.90979666","3.1292217","8.987833","102384331321120"
"-0.9792285","3.1316159","8.882488","102384341471380"
"-1.0199299","3.1244333","8.789114","102384351445651"
"-1.1204864","3.122039","8.585608","102384361312005"
"-1.091756","3.1244333","8.506598","102384371471432"
"-0.9911995","3.1244333","8.279149","102384381311797"
"-0.92176765","3.1531637","8.317456","102384391441276"
"-0.89064306","3.181894","8.413225","102384401310078"
"-0.81881696","3.1794999","8.614338","102384411552474"
"-0.80205756","3.2034419","8.793902","102384421312057"
"-0.85473","3.1747115","8.760384","102384431789401"
"-0.92176765","3.1196449","8.765172","102384441316797"
"-0.92176765","3.1196449","8.765172","102384451563411"
"-1.0295067","3.1268275","8.89446","102384461314766"
"-1.0606314","3.122039","8.9040365","102384471451693"
"-0.9768343","3.0358477","8.899248","102384481313203"
"-0.9768343","3.0358477","8.899248","102384491490547"
"-1.0510546","3.0693667","8.7292595","102384501312682"
"-1.0510546","3.0693667","8.7292595","102384511446641"
"-1.1348516","2.9951463","8.62152","102384521383203"
"-1.1348516","2.9951463","8.62152","102384531451693"
"-1.163582","2.992752","8.453926","102384541311432"
"-1.103727","3.0023289","8.508993","102384551446641"
"-1.0319009","3.0262709","8.576031","102384561313932"
"-0.9696517","3.0597897","8.748413","102384571446953"
"-0.89782566","3.0933087","8.846576","102384581314141"
"-0.7781156","3.0885203","8.916007","102384591449974"
"-0.7781156","3.1316159","8.966286","102384601312057"
"-0.7278373","3.1771057","8.963891","102384611454974"
"-0.6895301","3.0693667","8.990228","102384621312526"
"-0.6823475","2.942474","9.018958","102384631455547"
"-0.8403648","2.908955","9.102755","102384641315964"
"-1.0175357","2.96881","9.011775","102384651452630"
"-0.93134445","2.9352913","8.911219","102384661496068"
"-0.8595184","2.8491","9.062054","102384671456797"
"-1.1348516","2.8778305","8.8777","102384681319713"
"-1.1731589","2.896984","8.537724","102384691574661"
"-1.1085154","2.9400797","8.288726","102384701707578"
"-1.0773908","2.9759927","8.331821","102384711523099"
"-1.0151415","2.9975405","8.4347725","102384721522474"
"-0.9504981","2.9975405","8.643068","102384731442630"
"-0.8738836","3.0358477","9.009381","102384741309088"
"-0.79966336","3.0454245","9.124303","102384751552682"
"-0.6943185","3.0190883","9.339781","102384761300026"
"-0.6464345","3.016694","9.485827","102384771475338"
"-0.60333884","3.0095115","9.323022","102384781315130"
"-0.63206923","3.0430303","9.0237465","102384791340651"
"-0.6919243","3.0095115","8.781932","102384801336016"
"-0.6967127","2.9496565","8.497022","102384811491224"
"-0.79248077","2.956839","8.441956","102384821774141"
"-0.8858546","2.9472623","8.568848","102384831532995"
"-0.9983821","2.9735985","8.628703","102384841303255"
"-0.94810385","3.0071173","8.652645","102384851482318"
"-0.8379706","2.9161377","8.808268","102384861641380"
"-0.79966336","2.9352913","8.863335","102384871467891"
"-0.830788","2.954445","8.995016","102384881302578"
"-0.8643068","2.9640217","9.035717","102384891447682"
"-0.8283938","2.942474","9.004593","102384901530026"
"-0.90500826","2.9137435","8.985439","102384911314661"
"-0.93613285","2.885013","8.971074","102384921482630"
"-0.94331545","2.906561","8.817844","102384931484140"
"-0.93852705","2.9233203","8.793902","102384941310495"
"-0.8714894","2.9041667","8.7053175","102384951561068"
"-0.79248077","2.980781","8.635885","102384961318932"
"-0.7781156","3.0382419","8.746018","102384971580547"
"-0.6847417","3.0358477","8.863335","102384981399765"
"-0.7110779","3.0430303","8.822633","102384991465755"
"-0.7637503","3.0765493","8.846576","102385001515234"
"-0.7613561","3.0765493","8.841787","102385011565078"
"-0.7326257","3.0190883","8.827422","102385021322057"
"-0.7398083","3.004723","8.825027","102385031463255"
"-0.80445176","3.0095115","8.762778","102385041503411"
"-0.8810662","2.9975405","8.702923","102385053104088"
"-0.92416185","2.906561","8.647857","102385061309713"
"-0.9816227","2.9640217","8.602366","102385071503463"
"-0.93373865","2.918532","8.556877","102385081488880"
"-0.92655605","2.9257145","8.616732","102385091382995"
"-0.90740246","2.9137435","8.750807","102385101463359"
"-0.93852705","2.9640217","8.887277","102385111507474"
"-0.866701","2.932897","9.033323","102385121431901"
"-0.80684596","2.942474","9.081207","102385131624661"
"-0.8643068","3.0071173","9.038112","102385141472213"
"-0.8643068","3.0071173","9.038112","102385151456067"
"-0.9552865","2.9951463","8.9998045","102385161338151"
"-0.92176765","3.0023289","8.884883","102385171579713"
"-0.94810385","2.980781","8.779537","102385181305651"
"-0.8834604","2.8491","8.319851","102385191525078"
"-0.9768343","2.9113493","8.817844","102385201308203"
"-1.0893618","3.0621839","8.686164","102385211326276"
"-0.8690952","2.9520507","8.379706","102385221306536"
"-0.7230489","2.8107927","8.506598","102385231436276"
"-0.89064306","2.9520507","8.6574335","102385241591067"
"-0.82599956","3.004723","8.992621","102385251700859"
"-0.79726917","2.9879637","9.246407","102385261313932"
"-0.79487497","2.9975405","9.294291","102385271450547"
"-0.7445967","3.004723","9.260772","102385281461328"
"-0.7589619","3.0142999","9.23683","102385291400495"
"-0.78050977","2.9903579","8.980651","102385301314661"
"-0.82121116","2.956839","8.743625","102385311318984"
"-0.82121116","3.016694","8.573636","102385321485338"
"-0.7781156","3.0693667","8.542512","102385331476276"
"-0.79726917","3.0597897","8.6095495","102385341305494"
"-0.81881696","3.0909145","8.655039","102385351489922"
"-0.78050977","3.0597897","8.710106","102385361555286"
"-0.7541735","2.9879637","8.851364","102385371450338"
"-0.78769237","2.9831753","8.856153","102385381312838"
"-0.80445176","3.0119057","9.074024","102385391314713"
"-0.81163436","2.8802247","9.078813","102385401317369"
"-0.81163436","2.8802247","9.078813","102385411476692"
"-0.90979666","2.8658595","8.841787","102385421471119"
"-0.90979666","2.8658595","8.841787","102385431319557"
"-0.9504981","2.908955","8.7125","102385441300390"
"-0.9504981","2.908955","8.7125","102385451480651"
"-0.94331545","2.920926","8.746018","102385461482422"
"-0.94331545","2.920926","8.746018","102385471317994"
"-0.8690952","2.9759927","8.643068","102385481483151"
"-0.8738836","3.016694","8.755595","102385491504453"
"-0.8619126","3.0190883","8.846576","102385501313984"
"-0.770933","3.0190883","8.851364","102385511650078"
"-0.7422025","3.0190883","8.803479","102385521329765"
"-0.81163436","2.9999347","8.702923","102385531538151"
"-0.830788","3.086126","8.6813755","102385541326484"
"-0.7374141","3.0382419","8.872911","102385551668099"
"-0.7350199","3.004723","8.865729","102385561518776"
"-0.79487497","3.0214825","8.848969","102385571338619"
"-0.8738836","3.0023289","8.820239","102385581525130"
"-0.8810662","2.9903579","8.872911","102385591574088"
"-0.80445176","3.0095115","8.841787","102385601535130"
"-0.81163436","2.9879637","8.856153","102385611490494"
"-0.8475474","3.0095115","8.702923","102385621316953"
"-0.8619126","2.9640217","8.74123","102385631329088"
"-0.94092125","2.918532","8.760384","102385641335390"
"-1.0175357","2.918532","8.813056","102385651305390"
"-0.94570965","2.9712043","8.939949","102385661830182"
"-0.89064306","2.9640217","8.829816","102385671488411"
"-0.78290397","2.9879637","8.889671","102385681326692"
