"x-acc","y-acc","z-acc","time-acc"
"-2.0973208","3.3183637","8.590396","102508909136489"
"-2.0757728","3.2369606","8.590396","102509119173208"
"-2.087744","3.4380736","8.614338","102509129169093"
"-2.0446482","3.3806129","8.499416","102509139207895"
"-2.0470424","3.359065","8.418014","102509149146333"
"-2.0949266","3.3494883","8.394072","102509159220239"
"-2.087744","3.3854012","8.360553","102509169215083"
"-2.0853498","3.3063924","8.39886","102509179460551"
"-1.9512744","3.3638535","8.511387","102509189152687"
"-1.9081788","3.371036","8.453926","102509199213051"
"-1.8339585","3.4093432","8.379706","102509209465499"
"-1.8698715","3.4763808","8.377312","102509219445708"
"-1.7884687","3.454833","8.4587145","102509229202739"
"-1.8890251","3.3973722","8.674192","102509239162739"
"-2.0135236","3.4165258","8.884883","102509248981437"
"-2.0039468","3.406949","8.66701","102509259400187"
"-2.2481554","3.6487634","8.724471","102509269518156"
"-2.2146366","3.7110126","8.767567","102509279590708"
"-1.9871874","3.6224272","8.743625","102509289376437"
"-1.685518","3.5075054","8.542512","102509299188728"
"-1.5801731","3.3997664","8.274361","102509309840708"
"-1.661576","3.3614593","8.061277","102509319238937"
"-1.733402","3.3494883","7.9032598","102509330864770"
"-1.8866309","3.3255463","8.085219","102509339442999"
"-2.0446482","3.3159695","8.12592","102509349203833"
"-2.1643584","3.2728736","8.307879","102509359554562"
"-2.2720973","3.2321723","8.432379","102509369411176"
"-2.2577322","3.1292217","8.580819","102509379539510"
"-2.2960393","3.1244333","8.655039","102509389376645"
"-2.3056161","3.1723173","8.805874","102509399464458"
"-2.2649148","3.2345665","8.918402","102509409533416"
"-2.2337902","3.3183637","8.983045","102509419404614"
"-2.3391352","3.4715924","9.241618","102509429469874"
"-2.2649148","3.3901896","9.009381","102509439609978"
"-2.2649148","3.4213142","9.035717","102509449669874"
"-2.0733786","3.5290532","8.453926","102509459557166"
"-2.0733786","3.5290532","8.453926","102509469343989"
"-1.7645266","3.4213142","8.190564","102509479217791"
"-1.7645266","3.4213142","8.190564","102509489213989"
"-1.8890251","3.4284968","8.190564","102509499201541"
"-1.9297266","3.430891","8.145074","102509509455812"
"-1.9512744","3.4332852","8.377312","102509519629666"
