"x-rot","y-rot","z-rot","rot-time"
"-0.10969911","0.2610753","0.95905054","107928364332911"
"-0.10875476","0.2608455","0.95921713","107928374209369"
"-0.107854046","0.2610493","0.9592607","107928384426974"
"-0.10705834","0.2616153","0.959194","107928394257338"
"-0.10637333","0.26246503","0.95903736","107928404306505"
"-0.10592923","0.26331365","0.95885414","107928414256244"
"-0.105474584","0.26417992","0.9586663","107928424269890"
"-0.104935","0.2646539","0.958595","107928434277755"
"-0.104393885","0.26512718","0.95852333","107928444243171"
"-0.1039188","0.26516938","0.9585631","107928454210203"
"-0.10344375","0.26521087","0.9586029","107928464220984"
"-0.10312627","0.26497155","0.95870227","107928474352390"
"-0.10280758","0.26473173","0.9588016","107928484275828"
"-0.10266547","0.26443768","0.9588963","107928494035880"
"-0.102523305","0.26414093","0.95899135","107928504226036"
"-0.10256037","0.26388422","0.9590553","107928514033744"
"-0.1025978","0.26362488","0.9591196","107928524347234"
"-0.10269307","0.26342976","0.95915854","107928534384057"
"-0.10278796","0.26323286","0.9591977","107928544251192"
"-0.10299972","0.2631607","0.95918876","107928554297390"
"-0.10321397","0.26308465","0.9591802","107928564483901"
"-0.10366589","0.263073","0.95912737","107928574386140"
"-0.10416176","0.26305485","0.9590713","107928584403640"
"-0.104668975","0.26299974","0.95902413","107928594383536"
"-0.10515179","0.26291808","0.95898706","107928604336609"
"-0.10561341","0.2628275","0.9589556","107928614351088"
"-0.10607327","0.26273617","0.95892406","107928624256296"
"-0.1065817","0.2627594","0.9588573","107928634317286"
"-0.10707633","0.26287943","0.9587666","107928644312546"
"-0.107499175","0.26311734","0.95865196","107928654286348"
"-0.10784485","0.26345277","0.9585192","107928664239578"
"-0.108065665","0.26384068","0.9583866","107928674254786"
"-0.10813743","0.26422527","0.95827216","107928684209942"
"-0.10809775","0.26459733","0.958174","107928694384734"
"-0.10802719","0.26493075","0.95809007","107928704234994"
"-0.10801483","0.26521173","0.9580145","107928714239734"
"-0.10806839","0.26541552","0.9579532","107928724331973"
"-0.10820279","0.2655613","0.9578991","107928734281921"
"-0.108373545","0.265649","0.9578561","107928744417859"
"-0.10856761","0.2656588","0.9578314","107928754382494"
"-0.10871633","0.26559916","0.9578299","107928764407703"
"-0.10876806","0.26547945","0.9578549","107928774387807"
"-0.108736224","0.26534322","0.9578929","107928784381140"
"-0.10873099","0.26520053","0.95792866","107928794302911"
"-0.108806275","0.26503727","0.9579606","107928804486140"
"-0.108948275","0.26484463","0.9579933","107928814385932"
"-0.10912088","0.26463398","0.9580274","107928824400046"
"-0.10930668","0.264429","0.95805806","107928834385307"
"-0.10949713","0.26424477","0.95808214","107928844382598"
"-0.10971716","0.2640609","0.95810306","107928854284734"
"-0.109932005","0.26389432","0.95811945","107928864384369"
"-0.110133424","0.26374868","0.9581324","107928874283848"
"-0.11032681","0.2636235","0.9581409","107928884413223"
"-0.11054556","0.2635252","0.95814043","107928894324473"
"-0.111222774","0.26348144","0.9580719","107928904750567"
"-0.11115327","0.26339644","0.9581036","107928914268275"
"-0.111773126","0.2635449","0.95798993","107928924509630"
"-0.11269097","0.2642314","0.9576904","107928934418432"
"-0.11356807","0.2656845","0.957178","107928944225567"
"-0.11414321","0.26767883","0.95654434","107928954303327"
"-0.11436268","0.2702734","0.9557753","107928964178380"
"-0.113987714","0.2729176","0.955052","107928974311661"
"-0.113122925","0.27516323","0.95449245","107928984321765"
"-0.11219887","0.27679402","0.9541143","107928994113484"
"-0.111586854","0.27771786","0.9539079","107929004061557"
"-0.111356035","0.27806982","0.953828","107929014046505"
"-0.111395985","0.27804506","0.95383096","107929024046452"
"-0.11149065","0.27783978","0.9538828","107929034388796"
"-0.11147051","0.27760738","0.95395607","107929044237911"
"-0.11132448","0.2774016","0.9540367","107929054456244"
"-0.11111041","0.2772067","0.9541216","107929064371765"
"-0.11089321","0.27697098","0.95421976","107929074220567"
"-0.11075732","0.27664348","0.95433563","107929084314213"
"-0.11078539","0.27617112","0.95447737","107929094370463"
"-0.11106478","0.27555743","0.95463413","107929104215567"
"-0.11177592","0.2750184","0.9547205","107929114423900"
"-0.11268843","0.27468166","0.95472205","107929124351296"
"-0.113333054","0.2745592","0.9546883","107929134403692"
"-0.113580324","0.2746123","0.95464575","107929144250775"
"-0.11358143","0.2747778","0.9545966","107929154415723"
"-0.1135816","0.27505258","0.95451295","107929164351036"
"-0.11376178","0.27535942","0.9543973","107929174403015"
"-0.114114635","0.2756669","0.9542605","107929184236557"
"-0.114647746","0.27597973","0.95410067","107929194363900"
"-0.11526608","0.2762261","0.9539497","107929204436504"
"-0.11593832","0.2763615","0.9538259","107929214337338"
"-0.116632156","0.2763904","0.95373094","107929224244317"
"-0.11726736","0.2762946","0.95367926","107929234269004"
"-0.11784142","0.2760842","0.9536663","107929244359161"
"-0.1184183","0.2757981","0.9536748","107929254079682"
"-0.11909761","0.2755222","0.9536666","107929264410775"
"-0.120898426","0.2753189","0.9534927","107929275124213"
"-0.12080571","0.27515826","0.95355105","107929284223223"
"-0.121801354","0.27515176","0.9534251","107929294256609"
"-0.12298676","0.27528012","0.9532356","107929304254317"
"-0.124382965","0.27547264","0.95300066","107929314379213"
"-0.12585485","0.27569282","0.95274717","107929324286869"
"-0.12738594","0.27591673","0.9524861","107929334527598"
"-0.12880355","0.27609894","0.9522515","107929344352807"
"-0.13005431","0.27622268","0.95205635","107929354261036"
"-0.13241842","0.2764285","0.9516936","107929365064265"
"-0.13232984","0.2762895","0.9517463","107929374356192"
"-0.13335808","0.27619988","0.9516379","107929384049786"
"-0.13437556","0.27630427","0.95147043","107929394039681"
"-0.13531588","0.27713197","0.9510934","107929404058536"
"-0.13562596","0.27866057","0.95058906","107929414212077"
