"x-rot","y-rot","z-rot","rot-time"
"0.03084903","-0.11827404","-0.992473","62182619266326"
"0.028893331","-0.11873304","-0.99248236","62182629315180"
"0.027513511","-0.118620306","-0.99253726","62182639272836"
"0.02735158","-0.11836035","-0.99257267","62182649482367"
"0.028352913","-0.11803928","-0.992581","62182659485023"
"0.029524775","-0.117825955","-0.99257","62182669344555"
"0.031131241","-0.11764633","-0.9925389","62182679732315"
"0.032486085","-0.11755622","-0.9925028","62182689423357"
"0.03334646","-0.11759344","-0.9924676","62182699419503"
"0.033829004","-0.11787832","-0.99241716","62182709595701"
"0.034031995","-0.118379444","-0.9923525","62182719105336"
"0.03408626","-0.11895078","-0.9922853","62182729331326"
"0.034160346","-0.11938925","-0.9922328","62182739313773"
"0.03440775","-0.1196384","-0.9921959","62182749360492"
"0.034830596","-0.1197273","-0.9921711","62182759347419"
"0.035282806","-0.11973164","-0.99215454","62182769368357"
"0.035366625","-0.119822815","-0.99214095","62182779270909"
"0.03546252","-0.119926214","-0.9921255","62182789377263"
"0.035385836","-0.12008497","-0.99211013","62182799428096"
"0.03525048","-0.12030195","-0.99209034","62182809380544"
"0.03521569","-0.12052665","-0.99206626","62182819688513"
"0.03539914","-0.12075649","-0.9920341","62182829301169"
"0.03569297","-0.12092279","-0.99200493","62182839312471"
"0.03599274","-0.121064626","-0.99197805","62182849284034"
"0.036270883","-0.12126486","-0.9919447","62182859622836"
"0.03648414","-0.12155674","-0.9919021","62182869381169"
"0.036644954","-0.12191362","-0.9918535","62182879101169"
"0.036776852","-0.12218417","-0.99181604","62182889307888"
"0.036950666","-0.12239971","-0.99178344","62182899316378"
"0.03712346","-0.122588895","-0.9917539","62182909496950"
"0.03727116","-0.122821644","-0.9917201","62182919316221"
"0.0373806","-0.123133115","-0.99167806","62182929383357"
"0.037516788","-0.123600155","-0.99161583","62182939328409"
"0.037705813","-0.12409116","-0.9915484","62182949593617"
"0.03789149","-0.12456827","-0.9914824","62182959321273"
"0.038046353","-0.124965206","-0.9914273","62182969407992"
"0.038330257","-0.12512036","-0.9913973","62182979665805"
"0.038608756","-0.12526433","-0.9913688","62182989510596"
"0.038897347","-0.12534277","-0.9913481","62182999303930"
"0.039088596","-0.125386","-0.9913356","62183009526638"
"0.03916576","-0.1254385","-0.9913264","62183019364294"
"0.039113283","-0.1255203","-0.9913186","62183029340075"
"0.03897348","-0.12560177","-0.9913142","62183039538773"
"0.038860712","-0.12566282","-0.99131113","62183049584138"
"0.038887173","-0.12574846","-0.9912995","62183059267992"
"0.03907813","-0.12593727","-0.9912681","62183069515648"
"0.039317835","-0.12615333","-0.9912312","62183079312419"
"0.039575826","-0.12641536","-0.9911877","62183089413357"
"-0.039813414","0.1266897","0.99114317","62183099314086"
"-0.039990187","0.12691675","0.991107","62183109319034"
"-0.040135212","0.1271352","0.9910731","62183119533200"
"-0.040287632","0.12732357","0.9910427","62183129472055"
"-0.04052995","0.12751785","0.99100775","62183139401221"
"-0.040859837","0.12773219","0.99096656","62183149476065"
"-0.041224793","0.12796527","0.9909212","62183159409034"
"-0.041535474","0.12818415","0.9908798","62183169564815"
"-0.04173632","0.12835065","0.99084944","62183179465857"
"-0.04189997","0.12845942","0.9908282","62183189280075"
"-0.04206285","0.12855439","0.9908087","62183199397992"
"-0.04222511","0.12868194","0.99078506","62183209148305"
"-0.04241191","0.12885335","0.9907544","62183219463930"
"-0.04254672","0.12899958","0.9907294","62183229384398"
"-0.042688154","0.12917046","0.9907008","62183239178721"
"-0.04281142","0.1293348","0.99067384","62183249280440"
"-0.04289241","0.1294892","0.99064994","62183259364607"
"-0.04289747","0.12961058","0.9906336","62183269450805"
"-0.042840067","0.12975729","0.9906167","62183279291482"
"-0.042803515","0.12992577","0.9905959","62183289439450"
"-0.042921454","0.130111","0.99056625","62183299220909"
"-0.04328824","0.13031171","0.99052376","62183309691377"
"-0.043706544","0.1307569","0.9904469","62183319273617"
"-0.044222083","0.13131787","0.99035007","62183329267679"
"-0.042148195","0.13206582","0.9903385","62183342692054"
"-0.039228704","0.1331287","0.9903113","62183349576794"
"-0.038364224","0.13308583","0.9903501","62183359494502"
