"x-gyro","y-gyro","z-gyro","time-gyro"
"0.10322984","-0.007449576","-0.09684449","102558028861053"
"-0.41504782","0.15268302","-0.03758046","102558338778032"
"-0.4948647","0.15906836","-0.054608062","102558348680584"
"-0.56510353","0.15161878","-0.08121369","102558358667980"
"-0.61937904","0.13352695","-0.10781932","102558368927095"
"-0.6534343","0.107985556","-0.13016805","102558378669438"
"-0.699196","0.048388943","-0.15145256","102558388849959"
"-0.7960404","-0.014400341","-0.15358101","102558398928449"
"-0.8896922","0.045196272","-0.13761763","102558408677147"
"-0.92268324","0.18886667","-0.13868184","102558418962824"
"-0.92268324","0.18886667","-0.13868184","102558428674855"
"-0.79284775","0.20483005","-0.1450672","102558438923188"
"-0.5800027","0.18673822","-0.17060861","102558448725168"
"-0.30543265","0.15800413","-0.19402157","102558458912511"
"-0.046825916","0.11969203","-0.20572804","102558468674282"
"0.13728502","0.06860922","-0.20679227","102558479523293"
"0.22774419","0.03136134","-0.1950858","102558489346990"
"0.22987261","0.027104445","-0.16954438","102558498880011"
"0.16282642","0.057966974","-0.1322965","102558508870272"
"0.04150477","0.10692133","-0.09185594","102558518709543"
"-0.10855098","0.15161878","-0.056736514","102558528666417"
"-0.26286364","0.18035287","-0.034387786","102558538804074"
"-0.39376333","0.19418779","-0.025873985","102558548675688"
"-0.48422247","0.19312356","-0.025873985","102558558717199"
"-0.5193419","0.17183906","-0.03545201","102558568880740"
"-0.47890133","0.14736189","-0.056736514","102558578857042"
"-0.37779993","0.114370905","-0.085470594","102558588747459"
"-0.22987264","0.0718019","-0.12165425","102558598676834"
"-0.08300957","0.052645847","-0.14613143","102558608674334"
"0.024477154","0.056902748","-0.15464523","102558618971626"
"0.076624185","0.0845726","-0.15570946","102558628871782"
"0.07130307","0.122884706","-0.15145256","102558638695792"
"0.026605606","0.15268302","-0.1450672","102558648715636"
"-0.04469748","0.17609596","-0.13123228","102558658691730"
"-0.13302816","0.1814171","-0.11207622","102558668677563"
"-0.22242308","0.17928864","-0.09185594","102558678672511"
"-0.3043684","0.1697106","-0.07589257","102558688814751"
"-0.3586439","0.16013259","-0.07057144","102558698671261"
"-0.37779993","0.14629766","-0.07163566","102558708668345"
"-0.32671714","0.11649936","-0.07802102","102558718892772"
"-0.32671714","0.11649936","-0.07802102","102558728843501"
"-0.2660563","0.10053598","-0.08227792","102558738821105"
"-0.19156054","0.111178234","-0.09079172","102558748669803"
"-0.1053583","0.13671963","-0.111012","102558758853344"
"-0.1053583","0.13671963","-0.111012","102558768669751"
"-0.14686309","0.1399123","-0.0982413","102558778678292"
"-0.14686309","0.1399123","-0.0982413","102558788667407"
"-0.24690025","0.18567398","-0.06950721","102558798674074"
"-0.24690025","0.18567398","-0.06950721","102558808678449"
"-0.2990473","0.20802271","-0.065250315","102558818847563"
"-0.37460726","0.21760075","-0.07482834","102558828668188"
"-0.39908445","0.19738047","-0.08334214","102558838681053"
"-0.38737798","0.15587568","-0.09717707","102558848670584"
"-0.32139602","0.13459119","-0.111012","102558858670897"
"-0.32139602","0.13459119","-0.111012","102558868668449"
"-0.14367041","0.10372865","-0.13336073","102558878687355"
"-0.09045915","0.11224245","-0.1322965","102558888671417"
"-0.07343155","0.14204076","-0.12697537","102558898679959"
"-0.09045915","0.17928864","-0.111012","102558908668397"
"-0.13302816","0.21015117","-0.08972749","102558918668501"
"-0.13302816","0.21015117","-0.08972749","102558928905376"
"-0.25541407","0.20908695","-0.06312186","102558938839282"
"-0.31501067","0.18886667","-0.05992919","102558948806938"
"-0.34800166","0.16119681","-0.06312186","102558958815792"
"-0.34906587","0.1399123","-0.07589257","102558968933553"
"-0.32033178","0.12182048","-0.088663265","102558978821001"
"-0.26712054","0.10904978","-0.10143397","102558988838292"
"-0.20858815","0.102664426","-0.11207622","102558998843501"
"-0.15750533","0.10053598","-0.11633313","102559008701209"
"-0.12132168","0.12182048","-0.108883545","102559018672511"
"-0.11174366","0.15481146","-0.0982413","102559028817355"
