"x-rot","y-rot","z-rot","rot-time"
"0.1050656","-0.16038813","-0.9736644","102347056620770"
"0.10536401","-0.16060497","-0.973623","102347066623686"
"0.10557976","-0.16084109","-0.97359014","102347076629572"
"0.10574439","-0.16106863","-0.9735579","102347086501811"
"0.10595566","-0.16131902","-0.97350454","102347096623634"
"0.10627592","-0.16158675","-0.97342485","102347106503478"
"0.10668783","-0.16186792","-0.9733278","102347116620769"
"0.10716645","-0.16213596","-0.9732232","102347126504467"
"0.107656404","-0.16241144","-0.97311914","102347136623009"
"0.10810051","-0.16272648","-0.9730189","102347146501603"
"0.108480476","-0.16309682","-0.97292334","102347156525874"
"0.108727366","-0.16345534","-0.97284955","102347166519207"
"0.10890889","-0.16376568","-0.97279286","102347176520561"
"0.109070085","-0.16400482","-0.972749","102347186519103"
"0.10924975","-0.16416651","-0.97271645","102347196637905"
"0.109425984","-0.16426931","-0.9726931","102347206554519"
"0.10958738","-0.16435382","-0.9726778","102347216520092"
"0.10978886","-0.16447109","-0.9726584","102347226520405"
"0.11005039","-0.16462518","-0.9726307","102347236532488"
"0.11039014","-0.164775","-0.9725979","102347246521186"
"0.11080334","-0.16493744","-0.97255695","102347256639988"
"0.111272365","-0.16510299","-0.9725085","102347266524259"
"0.111791864","-0.16530156","-0.9724445","102347276522019"
"0.11233448","-0.1655477","-0.9723591","102347286519519"
"0.1128432","-0.16586368","-0.9722564","102347296519884"
"0.11329135","-0.1662483","-0.9721428","102347306521290"
"0.11362506","-0.16664004","-0.9720392","102347316519519"
"0.11389234","-0.1669996","-0.9719445","102347326518321"
"0.11421441","-0.16730264","-0.9718488","102347336522696"
"0.11462165","-0.16755576","-0.9717521","102347346521030"
"0.115177065","-0.16783936","-0.97163945","102347356510405"
"0.115592666","-0.16824794","-0.97154313","102347366351655"
"0.11555141","-0.16884491","-0.97149223","102347376531551"
"0.11503056","-0.16971585","-0.9714631","102347386364780"
"0.114226244","-0.17075364","-0.9714303","102347396661394"
"0.113399774","-0.17162685","-0.97139835","102347406520665"
"0.11269806","-0.1721783","-0.97138315","102347416544311"
"0.11211409","-0.17243859","-0.97139066","102347426544467"
"0.111768745","-0.17245753","-0.9714078","102347436639103"
"0.11155904","-0.17240869","-0.9714159","102347446378582"
"0.1115726","-0.17235477","-0.97140425","102347456528426"
"0.11185383","-0.17226751","-0.9713741","102347466645613"
"0.11238998","-0.17211992","-0.9713293","102347476505353"
"0.1132556","-0.1718661","-0.97126955","102347486653530"
"0.11423396","-0.1715251","-0.9712253","102347496501394"
"0.115135424","-0.17107266","-0.9712253","102347506604259"
"0.11583384","-0.17058946","-0.9712628","102347516697540"
"0.116262525","-0.1702038","-0.97131705","102347526566759"
"0.11640616","-0.16994339","-0.97138625","102347536637332"
"0.11623596","-0.16978052","-0.9714855","102347546595040"
"0.115882576","-0.16971743","-0.9716012","102347556656082"
"0.11549368","-0.16979174","-0.97171265","102347566641707"
"0.115191475","-0.16996416","-0.9718037","102347576358998"
"0.11496701","-0.1701977","-0.9718747","102347586508998"
"0.114835046","-0.17039429","-0.97192436","102347596600248"
"0.11482007","-0.1705555","-0.9719502","102347606659311"
"0.11493524","-0.17069443","-0.9719472","102347616634155"
"0.11512658","-0.17082836","-0.97191817","102347627050665"
"0.115362816","-0.17101629","-0.97186935","102347636355353"
"0.11562688","-0.17121242","-0.97181517","102347646641915"
"0.115855545","-0.17138754","-0.97177565","102347656566186"
"0.11603137","-0.17153424","-0.97175","102347666630248"
"0.11616147","-0.17168759","-0.9717305","102347676628634"
"0.11629256","-0.171911","-0.9716981","102347686505926"
"0.11647066","-0.17218363","-0.97164696","102347696407696"
"0.116782896","-0.17253342","-0.97156435","102347706362123"
"0.117183164","-0.17288795","-0.9714685","102347716362488"
"0.11762288","-0.17323759","-0.97136474","102347726972488"
"0.117995664","-0.17355016","-0.9712701","102347736527228"
"0.11834363","-0.17384115","-0.97118104","102347746373321"
"0.118624546","-0.17413229","-0.97110087","102347756583061"
"0.11858211","-0.1743149","-0.97109234","102347766601967"
"0.11849442","-0.1744735","-0.9711026","102347776867905"
"0.11846031","-0.174581","-0.9711258","102347786361603"
"0.118442684","-0.17467812","-0.9711478","102347796465405"
"0.11861706","-0.17461158","-0.97117645","102347806665248"
"0.11891108","-0.17451046","-0.9711853","102347816600925"
"0.11920096","-0.1744093","-0.97119373","102347826814571"
"0.11954961","-0.17435288","-0.9711695","102347836570353"
"0.11983975","-0.17437007","-0.9711395","102347846978946"
"0.12004633","-0.17448437","-0.971107","102347856525821"
"0.12019014","-0.17468928","-0.97107136","102347866881134"
"0.12027819","-0.17496245","-0.9710339","102347877044571"
"0.120354645","-0.17523688","-0.97099465","102347886501863"
"0.12045559","-0.17546447","-0.97095054","102347896829050"
"0.120614655","-0.17559177","-0.97091204","102347906524363"
"0.120818585","-0.17563108","-0.97088295","102347916629832"
"0.121030346","-0.17562614","-0.97086793","102347926356082"
"0.12123645","-0.17565279","-0.97085524","102347936345405"
"0.121427365","-0.17572196","-0.9708437","102347946514103"
"0.12159811","-0.17586875","-0.9708209","102347956637071"
"0.12177753","-0.17606473","-0.97078806","102347966391030"
"0.12201773","-0.17626165","-0.970743","102347976344155"
"0.12241385","-0.17639095","-0.97068506","102347986620873"
"0.12293367","-0.17644879","-0.9706222","102347996588477"
"0.12356886","-0.17654964","-0.97054225","102348006506915"
"0.12420846","-0.17675292","-0.97044677","102348016501550"
"0.12470591","-0.17705019","-0.97034323","102348026618894"
"0.12518921","-0.17745827","-0.97020596","102348036623894"
"0.12557468","-0.17806816","-0.97004586","102348046630977"
"0.12521897","-0.17871393","-0.96999025","102348056484832"
"0.124373674","-0.17934704","-0.9699993","102348066632227"
"0.12367092","-0.17995827","-0.9699919","102348076529727"
"0.12329057","-0.18041395","-0.9699696","102348086561186"
"0.12306128","-0.18064818","-0.96996063","102348096479884"
"0.122901626","-0.18069483","-0.9699715","102348106603998"
"0.12282743","-0.18066084","-0.9699884","102348116524936"
"0.12289533","-0.18060568","-0.9699973","102348126525248"
"0.12313469","-0.18050928","-0.9699992","102348136759727"
"0.12352533","-0.1803367","-0.97000426","102348146781655"
"0.12399921","-0.18008733","-0.9700181","102348156374467"
"0.124480024","-0.17983654","-0.9700339","102348166349467"
"0.124850005","-0.17966925","-0.9700519","102348176805300"
"0.12507865","-0.17963919","-0.97006726","102348186523842"
"0.12512037","-0.17960693","-0.9701062","102348196624623"
"0.12501127","-0.1794821","-0.97017974","102348206618790"
"0.12490566","-0.17930092","-0.97025925","102348216953165"
"0.12489957","-0.17916386","-0.97031677","102348226576134"
"0.12493522","-0.17911817","-0.9703404","102348237273946"
"0.12494396","-0.17919277","-0.970343","102348246789779"
"0.12487856","-0.17936586","-0.9703331","102348256353321"
"0.12476197","-0.17958331","-0.9703131","102348266591446"
"0.12467674","-0.17973234","-0.9702978","102348276508321"
"0.124475636","-0.17976889","-0.97031575","102348286352800"
"0.12414632","-0.17983872","-0.9703441","102348296568529"
"0.12387864","-0.180048","-0.9703484","102348306629363"
"0.123611815","-0.18038376","-0.9703441","102348316570144"
"0.12333692","-0.18073604","-0.97034657","102348326563686"
"0.123047665","-0.18104938","-0.97036535","102348336561707"
"0.122832894","-0.18125047","-0.9703974","102348346645040"
"0.12271534","-0.18141559","-0.9704253","102348356386863"
"0.12265293","-0.18157545","-0.9704424","102348366361863"
"0.12256973","-0.18172999","-0.9704578","102348376543894"
"0.12247418","-0.18182714","-0.9704806","102348386653165"
"0.122374766","-0.18178609","-0.9705277","102348396538217"
"0.12222257","-0.18157911","-0.97061586","102348406595092"
"0.12198114","-0.18129629","-0.97073674","102348416591759"
"0.121728934","-0.18104458","-0.9708533","102348426660300"
"0.12143921","-0.18086034","-0.9709631","102348436537384"
"0.12123113","-0.18076696","-0.97104144","102348446604571"
"0.12108444","-0.18075867","-0.9710946","102348456765977"
"0.12097664","-0.18084632","-0.9711181","102348466588321"
"0.12092261","-0.18104896","-0.97110903","102348476374727"
"0.12089045","-0.18139392","-0.9710703","102348486586186"
"0.12081746","-0.18180951","-0.9710251","102348496544311"
"0.120588474","-0.1822467","-0.9709988","102348506651446"
"0.12011917","-0.18262012","-0.9710157","102348516562592"
"0.11931303","-0.18292479","-0.9710882","102348526575613"
"0.118208565","-0.1831865","-0.97119975","102348537064206"
"0.11706483","-0.18344535","-0.97131366","102348546551238"
"0.11595719","-0.18371272","-0.9714156","102348556532644"
"0.11515783","-0.18393004","-0.97148526","102348566559050"
"0.11468054","-0.18402568","-0.97153765","102348576565821"
"0.11446163","-0.18398146","-0.9715877","102348586381394"
"0.11437384","-0.18383723","-0.97164214","102348596653061"
"0.11430342","-0.18367937","-0.971699","102348606660404"
"0.11417971","-0.18354784","-0.9717589","102348616650665"
"0.11399725","-0.18340138","-0.97182775","102348626599571"
"0.11383671","-0.18317464","-0.9719079","102348636532800"
"0.11362834","-0.18278208","-0.97201985","102348646516186"
"0.113347456","-0.1822525","-0.9721614","102348656635456"
"0.113077484","-0.18173529","-0.97229904","102348666516967"
"0.112743676","-0.1812216","-0.9724494","102348676513581"
"0.11235947","-0.18076974","-0.97259915","102348686610769"
"0.112031594","-0.18037745","-0.9727323","102348696377279"
"0.11183368","-0.18003751","-0.9728407","102348706638008"
"0.11187553","-0.17987284","-0.9728877","102348716636758"
"0.1119165","-0.17968561","-0.9729396","102348726346758"
"0.11201862","-0.17957228","-0.97296923","102348736640456"
"0.11221192","-0.17957887","-0.9729558","102348746517800"
"0.112447135","-0.17962085","-0.9729272","102348756522748"
"0.112617135","-0.17964785","-0.9729094","102348766516186"
"0.11263456","-0.1796337","-0.9729186","102348776639675"
"0.11253399","-0.17957975","-0.9729524","102348786537175"
"0.1123838","-0.17955859","-0.97299325","102348796646081"
"0.112234086","-0.17960411","-0.97302574","102348806514571"
"0.11211451","-0.17964526","-0.97305036","102348816520404"
"0.11207333","-0.1796368","-0.97306454","102348826517279"
"0.1121542","-0.17956579","-0.9730701","102348836514779"
"0.11235556","-0.17945762","-0.973069","102348846518165"
"0.112620346","-0.1793584","-0.9730614","102348856520040"
"0.11293094","-0.17933911","-0.97303677","102348866519310"
"0.113269456","-0.179437","-0.9729872","102348876519571"
"0.1136043","-0.17963915","-0.972916","102348886520300"
"0.113880925","-0.17990664","-0.9728369","102348896520821"
"0.11404648","-0.18016176","-0.97277206","102348906520404"
"0.114064045","-0.18035047","-0.9727344","102348916519571"
"0.11398567","-0.18043026","-0.972727","102348926519675"
"0.11381844","-0.1803925","-0.9727525","102348936532383"
"0.113592066","-0.18030168","-0.9727981","102348946519571"
"0.113384135","-0.18015076","-0.97285694","102348956520717"
"0.113252014","-0.18001571","-0.97290784","102348966520821"
"0.113244295","-0.17993338","-0.97293407","102348976640508"
"0.11337374","-0.1799245","-0.9729284","102348986343946"
"0.11358321","-0.1799815","-0.9728986","102348996550665"
"0.11388336","-0.18010052","-0.97284716","102349006516342"
"0.11421074","-0.1802676","-0.97278106","102349016495508"
"0.11449708","-0.18046966","-0.97270435","102349027625613"
"0.11471894","-0.18064187","-0.9726503","102349036641133"
"0.114931904","-0.18073","-0.97260743","102349046640508"
"0.11519407","-0.18074214","-0.9725799","102349056520821"
"0.115493506","-0.18067333","-0.9725702","102349066519519"
"0.1157381","-0.18053994","-0.9725846","102349076638842"
"0.11588391","-0.18035135","-0.9726215","102349086520300"
"0.11601594","-0.18020478","-0.9726506","102349096520717"
"0.11616681","-0.18016718","-0.9726523","102349106518165"
"0.11633301","-0.18023354","-0.97262794","102349116520977"
