"x-rot","y-rot","z-rot","rot-time"
"0.10612538","-0.1885564","-0.97247636","102921467416539"
"0.10681556","-0.18899523","-0.9723305","102921477417269"
"0.10740238","-0.18936437","-0.972204","102921487425185"
"0.10788727","-0.1896631","-0.9720959","102921497417789"
"0.108338326","-0.18995245","-0.97198606","102921507486175"
"0.108896956","-0.19035187","-0.9718355","102921517428831"
"0.10959256","-0.19089854","-0.9716371","102921527501123"
"0.11034378","-0.19152345","-0.9714153","102921537415341"
"0.11109822","-0.192123","-0.97119606","102921547500862"
"0.11180725","-0.19266956","-0.9709916","102921557418519"
"0.11249933","-0.19315395","-0.97079945","102921567435029"
"0.1133011","-0.19365336","-0.970588","102921577389039"
"0.11414921","-0.1941617","-0.97036785","102921587433883"
"0.114953965","-0.19465277","-0.9701535","102921597493310"
"0.11571791","-0.19510482","-0.96995","102921607441279"
"0.11634704","-0.1954331","-0.9697908","102921617434091"
"0.11686768","-0.19565159","-0.96967024","102921627503675"
"0.117297776","-0.19579323","-0.9695794","102921637444664"
"0.11773541","-0.19591674","-0.96949065","102921647437164"
"0.11831209","-0.19604589","-0.96938175","102921657431852"
"0.119038746","-0.19619581","-0.96924794","102921667445289"
"0.11988359","-0.19632895","-0.9691012","102921677513310"
"0.12079602","-0.19645329","-0.96894825","102921687505081"
"0.121743485","-0.19665009","-0.9687805","102921697441748"
"0.12266084","-0.19700937","-0.9685865","102921707445758"
"0.12352026","-0.1975454","-0.96836567","102921717437060"
"0.12428658","-0.19817184","-0.9681333","102921727476539"
"0.12498086","-0.19878535","-0.96790427","102921737199196"
"0.1256637","-0.19933788","-0.9676758","102921747423258"
"0.1263998","-0.19988458","-0.96742564","102921757448571"
"0.12717293","-0.2005797","-0.96713233","102921767301748"
"0.1278351","-0.20141278","-0.96683055","102921777338987"
"0.12842113","-0.20238252","-0.9665158","102921787445237"
"0.12905224","-0.2035132","-0.96616393","102921797506487"
"0.12980296","-0.20476353","-0.96576846","102921807215654"
"0.13060592","-0.20601794","-0.96535885","102921817032841"
"0.13120662","-0.20722307","-0.9649844","102921827345758"
"0.1314101","-0.20818414","-0.96472716","102921837207477"
"0.13129173","-0.20876278","-0.9646089","102921847478518"
"0.13098457","-0.208921","-0.96461785","102921857407893"
