"x-gyro","y-gyro","z-gyro","time-gyro"
"0.086202234","0.09045914","-0.04363323","82809905628595"
"-0.20326702","0.16226104","-0.09292017","82810225575105"
"-0.19688167","0.16758215","-0.099305525","82810235712970"
"-0.19901012","0.17290328","-0.100369744","82810245475313"
"-0.20539546","0.1697106","-0.100369744","82810256886563"
"-0.2107166","0.16545372","-0.10462664","82810265807813"
"-0.2107166","0.1697106","-0.11207622","82810276127397"
"-0.2107166","0.18354553","-0.11739735","82810285516251"
"-0.21390927","0.18886667","-0.11739735","82810295937136"
"-0.21816617","0.18248132","-0.111012","82810305838959"
"-0.22242308","0.17077485","-0.099305525","82810315721615"
"-0.2149735","0.16226104","-0.09185594","82810325520157"
"-0.20858815","0.17077485","-0.08759904","82810336101459"
"-0.20539546","0.18673822","-0.08440637","82810345648230"
"-0.2022028","0.20376581","-0.08121369","82810355806251"
"-0.2022028","0.21440807","-0.07269989","82810365888282"
"-0.20433125","0.22505033","-0.06205764","82810375638699"
"-0.2022028","0.22930722","-0.04609426","82810385671407"
"-0.19688167","0.21972919","-0.03332356","82810395625313"
"-0.18836787","0.20483005","-0.03332356","82810405662240"
"-0.18091829","0.18780243","-0.043965813","82810415711355"
"-0.17453295","0.17928864","-0.056736514","82810425476719"
"-0.1766614","0.18993089","-0.06844299","82810435670886"
"-0.18198252","0.20376581","-0.07589257","82810445742969"
"-0.19049633","0.21227962","-0.07269989","82810455654115"
"-0.19581744","0.21440807","-0.06844299","82810465730782"
"-0.19581744","0.20802271","-0.060993414","82810475491772"
"-0.19475323","0.19631624","-0.05780074","82810485735574"
"-0.19475323","0.18248132","-0.06418609","82810495667709"
"-0.19901012","0.17928864","-0.07269989","82810505645209"
"-0.2107166","0.1814171","-0.08014947","82810515731824"
"-0.22880843","0.18354553","-0.08972749","82810525705417"
"-0.24264336","0.18354553","-0.09292017","82810535691876"
"-0.23945068","0.18673822","-0.08759904","82810545619063"
"-0.2234873","0.19205934","-0.08653482","82810555485469"
"-0.20752391","0.19525202","-0.085470594","82810565825938"
"-0.19156054","0.18886667","-0.085470594","82810575711563"
"-0.18730363","0.18460977","-0.088663265","82810586543438"
"-0.19688167","0.18886667","-0.088663265","82810595638282"
"-0.21390927","0.20163736","-0.085470594","82810605640782"
"-0.2320011","0.21653652","-0.08334214","82810615901771"
"-0.24477181","0.22398609","-0.08121369","82810625815261"
"-0.2532856","0.22930722","-0.07695679","82810635732501"
"-0.2490287","0.2367568","-0.06737877","82810645485053"
"-0.23732223","0.24846327","-0.054608062","82810655681146"
"-0.22029462","0.26974776","-0.036516234","82810665650313"
"-0.19901012","0.2920965","-0.017360184","82810675635521"
"-0.16389069","0.30805987","0.009245444","82810685632136"
"-0.11387211","0.3336013","0.051814456","82810695474532"
"-0.072367325","0.30593142","0.09331922","82810705791199"
"-0.08939493","-0.095281444","0.06777783","82810715645521"
"-0.20113857","-0.2623648","0.0017958693","82810725793073"
"-0.33203825","-0.32834676","-0.06950721","82810735501823"
"-0.35970813","-0.2836493","-0.06737877","82810745717813"
"-0.31607488","-0.03887751","-0.03758046","82810755669896"
"-0.3128822","0.22398609","-0.028002433","82810765844584"
"-0.34055206","0.35807848","0.009245444","82810775740782"
