"x-acc","y-acc","z-acc","time-acc"
"-0.110133275","2.0159178","9.188946","62160150299407"
"-0.12689269","1.8890251","8.9998045","62160362289251"
"-0.50757074","1.9033904","9.01417","62160372277532"
"-0.5315128","1.8914193","9.018958","62160382278990"
"-0.49559975","1.7884687","8.973468","62160392277584"
"-0.48362875","1.7669208","8.896853","62160402270605"
"-0.4333505","1.757344","8.793902","62160412269251"
"-0.29927522","1.7812861","9.057265","62160422278469"
"-0.2753332","1.8602947","9.114726","62160432269511"
"-0.30166942","1.9057846","9.308656","62160442272167"
"-0.32800564","2.030283","9.428367","62160452269511"
"-0.4141969","2.1045034","9.512163","62160462282949"
"-0.34955344","2.111686","9.476251","62160472191126"
"-0.29688102","2.0901382","9.452309","62160482188001"
"-0.2681506","2.0853498","9.440337","62160492190344"
"-0.14844051","2.042254","9.234436","62160502206490"
"-0.14604631","1.9632454","9.066842","62160512309251"
"-0.1364695","1.8914193","8.9519205","62160522201647"
"-0.25857377","1.7669208","8.870518","62160532203313"
"-0.45489833","1.7429788","8.920795","62160542224615"
"-0.58657944","1.757344","9.004593","62160552362844"
"-0.6631939","1.7238252","9.0716305","62160562527063"
"-0.6344634","1.7477672","8.920795","62160572193053"
"-0.7374141","1.8004397","8.76996","62160582346907"
"-0.6512229","1.8435353","8.674192","62160592208001"
"-0.5626374","1.8124107","8.858546","62160602262167"
"-0.40462008","1.8890251","9.16261","62160612366803"
"-0.28491","1.9297266","9.346964","62160622314303"
"-0.19393034","1.910573","9.332599","62160632219719"
"-0.28491","1.9656396","9.26556","62160642207271"
"-0.260968","1.9393034","9.186552","62160652468730"
"-0.25617957","1.9273324","9.059659","62160662268053"
"-0.2873042","1.946486","9.052477","62160672341334"
"-0.30885202","1.958457","9.066842","62160682379146"
"-0.31603462","1.9369092","9.229648","62160692203261"
"-0.33997664","1.9081788","9.241618","62160702373053"
"-0.39504328","1.9512744","9.179369","62160712201959"
"-0.45489833","1.9895816","9.184157","62160722407428"
"-0.46447513","1.982399","9.227253","62160732447688"
"-0.4237737","1.9967642","9.3421755","62160742417844"
"-0.34955344","1.9895816","9.502586","62160752198574"
"-0.24420857","1.7381904","9.323022","62160762202584"
"-0.22266077","1.5825673","9.26556","62160772194824"
"-0.38307226","1.6256629","9.090784","62160782287063"
"-0.40940848","1.6136919","8.746018","62160792198938"
"-0.45010993","1.6112977","8.441956","62160802469146"
"-0.41180268","1.685518","8.37013","62160812198626"
"-0.4189853","1.8579005","8.678981","62160822195813"
"-0.3184288","1.9321208","9.059659","62160832462115"
"-0.20829555","1.8555063","9.385271","62160842223626"
"-0.31603462","1.7549498","9.454702","62160852361907"
"-0.34476504","1.7836803","9.483433","62160862201126"
"-0.3878607","1.8028339","9.509769","62160872267896"
"-0.30885202","1.8435353","9.349358","62160882397948"
"-0.16280572","1.8698715","9.267955","62160892235032"
"0.01436521","1.8770541","9.176975","62160902517167"
"0.04309563","1.7860745","9.076419","62160912213417"
"-0.12928689","1.7717092","9.0429","62160922330448"
"-0.12928689","1.7717092","9.0429","62160932209511"
"-0.20350714","1.6831238","9.129091","62160942407011"
"-0.29927522","1.6089035","9.085996","62160952462740"
"-0.36631286","1.6184803","9.033323","62160962220553"
"-0.4189853","1.5394717","8.959103","62160972186334"
"-0.4261679","1.5107412","8.937555","62160982208626"
"-0.50038815","1.6089035","9.176975","62160992196959"
"-0.60812724","1.7501614","9.153033","62161002202063"
"-0.4429273","1.6879122","9.102755","62161012204980"
"0.21787235","1.3096284","8.322245","62161022195813"
"-1.2665327","2.4995465","9.421184","62161032187792"
"-0.06464344","1.7046716","9.081207","62161042195448"
"0.4165911","1.3742718","9.454702","62161052447323"
"-0.009576807","1.9249382","9.739613","62161062314719"
"-0.20829555","1.8938135","9.811439","62161072437011"
"-0.31364042","1.9656396","9.749189","62161082386959"
"-0.20111294","1.9656396","9.634268","62161092308209"
"-0.06943185","1.9153614","9.370906","62161102199407"
"-0.045489833","1.8890251","8.949526","62161112344875"
"0.04309563","1.8291701","8.798691","62161122297948"
"-0.1388637","1.9800048","8.961497","62161132429875"
"-0.20590134","2.0039468","8.937555","62161142295709"
"-0.059855044","1.8555063","8.825027","62161152443678"
"0.04309563","1.7262194","8.755595","62161162407063"
"-0.06943185","1.757344","8.774749","62161172200448"
"-0.074220255","1.7788919","8.762778","62161182322375"
"-0.18914193","1.7860745","8.698134","62161192360032"
"-0.30166942","1.7884687","8.872911","62161202317584"
"-0.30645782","1.7669208","8.987833","62161212438469"
"-0.4381389","1.7501614","8.947132","62161222416177"
"-0.47644615","1.733402","9.167398","62161232198313"
"-0.51235914","1.70946","9.421184","62161242196907"
"-0.5410896","1.697489","9.509769","62161252202167"
"-0.5506664","1.733402","9.512163","62161262393209"
"-0.56982","1.6639702","9.440337","62161272247219"
"-0.58897364","1.673547","9.287108","62161282228365"
"-0.6799533","1.6950948","9.038112","62161292197219"
"-0.7134721","1.685518","8.920795","62161302289823"
"-0.7110779","1.6950948","9.052477","62161312549094"
"-0.6440403","1.733402","9.038112","62161322319771"
"-0.5363012","1.8124107","9.169792","62161332333886"
"-0.40701428","1.8219875","9.344569","62161342237688"
"-0.34955344","1.8195933","9.442732","62161352202219"
"-0.2753332","1.8602947","9.368511","62161362337427"
"-0.18435353","1.8818425","9.409213","62161372188313"
"-0.15801731","1.9249382","9.289502","62161382398000"
"-0.1604115","1.9153614","9.119514","62161392443469"
"-0.21068975","1.9249382","9.004593","62161402416907"
"-0.31364042","2.0039468","8.870518","62161412432011"
"-0.38307226","1.982399","9.018958","62161422217896"
"-0.41180268","1.910573","9.078813","62161432459511"
"-0.36391866","1.9057846","9.157822","62161442194667"
"-0.2633622","1.9919758","9.16261","62161452343573"
"-0.16280572","2.111686","9.107543","62161462202896"
"-0.22744916","2.087744","9.081207","62161472205448"
"-0.15322891","2.0231004","9.174581","62161482227532"
"-0.17238252","2.006341","9.241618","62161492357896"
"-0.22266077","1.958457","9.078813","62161502216959"
"-0.33039984","1.8842367","9.306262","62161512195917"
"-0.2777274","2.2481554","8.1402855","62161522382115"
"-0.61770403","1.7860745","8.013393","62161532385604"
"-0.7278373","1.7525556","8.748413","62161542212948"
"-0.6919243","1.7525556","8.765172","62161552348417"
"-0.60573304","1.553837","8.690952","62161562259875"
"-0.7062895","1.6831238","9.109938","62161572247740"
